"","Name","Date","Individual_Rating","Review"
"1","Kyle T. Prahl","Reviewed in the United States on November 19, 2023","4.2 out of 5 stars","        I'm a controllerhead, always trying new PC gamepads in pursuit of the perfect one. For me, that means lots of extra inputs, the ability to map those inputs to keyboard keys, build quality, and as many premium features as possible.The bottom line: Vader 3 Pro is the closest to perfection I've yet used, and has become my new daily controller in a den filled with cast-offs.Here's what I love in the Vader 3 Pro:+ It's exceptionally comfortable to hold. It feels closer to the original XB1 controllers, which is the ideal form, rather than the slightly smaller Series X/S controllers.+ The mechanical face buttons feel amazing. Highly responsive mouse clicks, with a bit of a membrane cushion. They feel very similar to Razer's mechamembrane buttons on their Wolverine line, which is a win.+ The D-Pad is PHENOMENAL. While it looks like the Series X D-Pad in pictures, it sits above the shell a little higher and requires much less actuation force to use. When combined with highly satisfying clicks in all 8 directions, it's a masterpiece. Probably the best D-Pad I've ever used.+ The Hall Effect analog sticks are insanely accurate and completely free of stick drift. When using Gamepad Tester to check for deviation, all four axes sit at 0.00002, and they return to that value every time. I'm assuming this is the theoretical minimum. They feel incredibly pleasant to use and glide effortlessly around the anti-friction rings.+ The triggers are the best on the market. They can switch between full pulls and mechanical switches—the triggers actually convert into instant mouse clicks. This is exceedingly rare to have a controller that does both. I'm only aware of one other, from SCUF.+ It connects effortlessly to its included wireless dongle with a simple tap of the home button.+ The two extra face buttons provide additional utility, and you never feel them if you're not trying to use them. In FFXIV, I can do cheeky things like map these to my inventory or dungeon finder, minimizing the amount I need to reach for my keyboard.+ Quality control seems great. After countless returns of Elite Series 2s that were all busted in some way out of the box, it's so refreshing to unbox something that works flawlessly+ Gyro! I'm not a gyro user myself, but I can't believe how feature-rich this controller is.But no controller I've yet tried is perfect, and the Vader 3 Pro is no exception. Here's what I don't love:- The four back buttons are merely OK. They're not aligned in a way that would allow pressing two buttons on the same side at once. This is a very minor complaint, though, and I typically just use back buttons for L3 and R3 to minimize the stick clicking I have to do. But I wouldn't be able to slide and reload at the same time, or jump and crouch at the same time, in a FPS game if those were mapped on the same grip.- The thumbstick caps are a little slippery. I recommend a pair of Skull & Co. PS5-style rubber caps to put over them.- Flydigi has done away with the extra bumpers they had on the Apex 2 controller. I loved those, and more inputs is always better, so it's a bummer they're not here.- As of writing, this controller's back buttons and C/Z buttons aren't supported by reWASD remapping software. If you're a reWASD user, you'll need to remap the back buttons and C/Z buttons in Flydigi's software first, then fully close the software to allow the other reWASD mappings to work.- While quality control seems exceptional, the build quality is just OK. The plastics used don't feel very premium, and there's no rubber to found anywhere. So it's a step down comfort-wise from something like the Elite Series 2.  "
"2","matt","Reviewed in the United States on February 13, 2024","5.0 out of 5 stars","        I remember the days when a ""3rd party"" controller was always a terrible decision to buy, the only upside being that it's cheaper than the official one. The Vader 3 Pro takes that notion, and breaks it into a million pieces.This controller is a wonder to use.I've been wanting a controller that had a combination of features: Back buttons (four of em), motion control, xbox style layout. I previously had been using the ""8bitdo ultimate bluetooth controller"", but it left things to be desired (the ergonomics weren't great, and only 2 back buttons).This one, though? The vader 3 pro has it all. Motion controls, xbox style layout, 4 back buttons, it has hall effect joysticks, rumble in the triggers, and an extra 2 buttons near the ABXY (which i've bound to take screenshots / save game replays), mechanical buttons/dpad too. With trigger stops enabled, the LT and RT feel like regular clicky buttons (identical in feel to the LB and RB), feeling nice for emulating older games.It feels great in my hands, the analogs feel so smooth, the buttons & dpad feel nice and clicky. Having motion controls & rumble in the triggers makes for an interesting experience playing first person shooters. The trigger rumble vibrates the motion controls a bit, almost making it a real-life version of recoil when I shoot! (It's all customizable, you can turn it off completely if you don't like it). I don't think it's the same kind of rumble that the Dualsense has (I've yet to use one), it's probably more like the xbox's trigger rumble.Everything is customizable through the software, you can (on PC at least) re-bind everything to anything else on the controller or keyboard.  It can store up to 4 profiles at once (and you can import/export profiles to save extras). You can also choose to enable fast profile swapping, allowing you to swap to the 4 profiles by holding select + A or B or X or Y. There is no indicator, but you can configure the LED strip to be different on each profile.Since there's a switch that changes from PC, to Bluetooth, to Switch, you can easily swap between them without needing to unpair and re-pair the controller (unless you have multiples of one, of course).My complaints?The ""Capture"" button doesn't do anything on PC (I can't even rebind it in the software). It seems like it's only for switch. Retroarch is able to pick it up when I have the controller connected on my phone, but not on PC.The select button is in an odd position, making it difficult/awkward to reach during gameplay.The battery life could be better (Only around 8 hours).The software for phones is crap, and annoying to use.All of these feel like minor nitpicks compared to how good the controller is. It's well worth the money!  "
"3","Kyle T. Prahl","Reviewed in the United States on November 19, 2023","2.0 out of 5 stars","        Considering this cost me less than $100, I am pretty stoked on the features. I spent a week doing research and watching videos. This one was featured on a Gamer Heaven (youtube) review. The guy there seems to focus heavily on gaming controllers, specifically. He even put this down as his ""controller of the year"" (overall) for 2023. Most reviews I saw for it though, were mostly very positive. It happened to have all of the features (or the most of any controller I looked at) that I was looking for; hall effect sticks, adjustable triggers, remappable back buttons, haptic triggers, fast polling rate, etc. I had considered spending upward of $200 on the Xbox elite, but was worried about talks of the controllers having stick drift issues, out of the box (and not being replaceable). The DS5 Edge was also expensive, and although it had replaceable sticks, they were mechanical. For less than $100, this bad boy had all of the features I was looking for. I am loving it so far...mostly...The software is pretty bad and a lot of the instructions I have found online are in Chinese. I have had a bit of trouble remembering the instructions for switching from X-input to Direct Input, etc. And when I try to google the button combos to change it, most of what comes up is for a different model, or isn't in English..so that is annoying. I also don't LOVE the fact that it has the holes on top for their mobile device accessory, which I will never use. I do wish the grips were rubbery (like the xbox pro). that is maybe preference, but easy enough to ""fix"" with a set of rubber grip accessories that I purchased. It feels great now. I also wish the back buttons were removeable switches instead of static buttons. You can turn them off if they are annoying. But, they are often nice to have in a lot of games. I just thing the paddle style switches like the ones on the Elite or Edge controllers seem a lot nicer. But this controller at least had back buttons at all, which many other 3rd party controllers (under $150-200) did not. I also think the Vader 2 looked better. I am not a fan of the blue/grey/silver colorway. But, again, that is personal preference. The ability to change the RGB is nice. I also don't love the asymmetrical joysticks, but have gotten used to them. Many folks will maybe prefer these.  Also preference would be that the controller was a BIT heavier. It feels pretty good, and not cheap by any means. But when I pick up my friend's XBOX Elite controller, I am a little sad mine doesn't have that premium feel. But that also comes at a 2x the price tag.All in all, I love the controller for the price. I wish there were a few things done differently, but I don't think you can do much better for $80, honestly.  "
"4","C. Saint L.","Reviewed in the United States on March 1, 2024","5.0 out of 5 stars","        I want to start off by stating that I love this controller, it has many great features not found in many “premium” controllers, for a fraction of the cost. If you’ve found your way to this controller, then I’m sure you’re aware of its biggest selling point - Hall effect joysticks. They work very well thus far! I mostly play FPS games, and the fact that these joysticks are always centered, even with zero deadzone, escalates my gameplay to another level. Be aware you should set the deadzone in the app, as well as in the settings of whatever game you’re playing. One thing to note regarding Hall effect controllers is that although they are less prone to stick drift, they are not immune. The quality of the spring used in the joystick may be the factor that determines its longevity. Other awesome features I like include the clicky, tactile feel of the buttons and trigger - I don’t think I can ever go back to mushy buttons ever again! The gyro function gives me a little more control with aiming. Also, the app works pretty well now. I know some users had a bad experience with the app, but it looks like with the newer version, they were able to solve many bugs as I haven’t had any real issues with it.Now onto the less-than-ideal features (but still good). The back buttons could be better. I find them to be too small and only somewhat ergonomically placed. Competitors have much more intuitive back buttons, some even replaceable with different angles to fit your hand better. I also didn’t like the joystick caps not because of the caps themselves but since I like putting kontrolfreeks on the caps, neither the PS or Xbox ones fit. I ended up opening the thing, which by the way smells like cancer (ie melted plastic), and replaced the joysticks with Xbox ones. With kontrolfreeks and restrictor rings on, short triggers, and all the other awesome features, my gameplay has been next level!I also did some software latency testing (ie theoretical) and was getting about 2-3 ms and 500hz polling rate. Would love this even more if I could overclock this thing. I’m in the process of obtaining a hardware latency tester but others have already tested the latency of this device and many others - search for “Gamepadla”. The Vader 3 pro scored fairly well against other controllers!Note that this review only reflects dongle and wired connections. I’ve yet to try this in switch and have read that the Bluetooth is not great.Overall I’m very pleased. I am curious to see how long these sticks maintain being centered, only time would tell! If you’re on the fence, just get it, it’s fairly cheap and its joysticks would likely last longer than any premium controller with analog sticks. I would never buy analog joysticks again to be honest!  "
"5","SethJChat","Reviewed in the United States on February 19, 2024","5.0 out of 5 stars","        Great controller and my first non-Xbox controller.  It has a great feel in hand. Clicky face buttons, responsive joysticks, loved the hairline trigger feature. Overall great product and I enjoyed it.Only a couple cons. First, I wish the battery life was longer but it wasn't that much of a problem, I had to charge every 4-5 days. Lastly, the main reason for the minus 1 star is that the FN button stopped working after 2 weeks of use.EDIT 6/3/24it turns out the FN button isn't accessible in hardwaretester and was able to replicate with others who have the controller. FN+A or FN+X changes setting from dinput and xinput respectively. Also, the mouse feature only works in dinput and not xinput. Because of that, I'm changing the rating from 4 stars to 5 stars as I don't think the battery life is that much of an issue compared to how great the controller is and the main issue for the -1star originally is essentially user error.  "
"6","Hub Go","Reviewed in the United States on January 5, 2024","5.0 out of 5 stars","        I spent a lot of time researching controllers. It always felt like one would have some of the features I wanted, but be missing others. I really blew my mind that in 2024 there wasn't a reliable company producing a PlayStation layout controller with hall effect, paddles on the rear, a good dpad and trigger stops.Obviously the PlayStation controller layout is a preference and I don't have an issue using the Xbox layout, it's simply what I would've liked.I'm here to say, that the Vader 3 Pro is as close to perfect a controller as I've found in checking the boxes I care about.As a PC player, I've found that many manufacturers lie about a lot of product features, especially polling rates. There's not the case there. I've gotten consistent 500 polling rates for as long as I've been using this pad.The sticks feel great, the tactile buttons assure me of my inputs and the dpad is so close to amazing.So what's the ""almost""? The button just to the lower right of the dpad that enables gyro is too close. I've on several occasions while playing Street Fighter 6 performed a shoryuken and hit it, which then has a mouse icon flying all over my screen.I wasn't able to find a way to disable this button in the software, which made me disappointed as I have zero intention of using this button, even when playing FPS.At this price point, I almost feel this is unbeatable. The quality far outweighs what few complaints I have about this gamepad and I encourage anyone who can tolerate or likes the Xbox layout to give it a shot.  "
"7","Yasser A","Reviewed in the United States on March 5, 2024","5.0 out of 5 stars","        I play a lot of Call of Duty on PC and have various pro controllers Xbox elite, Turtle beach stealth pro, kk3 max, Razer wolverine V2, all the scuffs and a few others, but nothing compares to the feel of the Vader 3 pro. The back buttons took a few days to get used to and I wasn't happy with the idea of using one finger for each set of back buttons but it actually feels better then the elite style back buttons when you get used to them. And the analog sticks are great I keep trying my other controllers but, none have the feel of the Vader sticks. And the mouse triggers are great they have a few mm travel very easy to click without any misclicks. Polling rate is around 1-2 ms. I did have to reach out to tech support for a firmware issue and the sent me a link to a new update when that didn't work they sent me a new controller within in 2 days. So needless to say I would recommend this controller for PC over any other one sold on the market today and look forward to the Vader 4 pro.  "
"8","Rj Thompson","Reviewed in the United States on February 15, 2024","5.0 out of 5 stars","        The Flydigi Vader 3 Pro checks all the boxes for what you'd want in a controller. It features Halldeck Thumbsticks to combat stick drift, includes four buttons on the back and an additional two on the front, along with superb triggers. The ease of customization through a PC App or an iPhone app is a huge plus. It's also perfectly compatible with the Nintendo Switch, offering complete button remapping and the option to program combos for fighting games. I absolutely adore it! When playing Warzone, the thumbsticks do a stunning 500 Hz pull rate via the 2.4 GHz adapter a wired.There’s so much more you can do with it. But for that you really gotta get your hands on it and find out! This device is truly remarkable! I retired my GameSir G7 SE and Join The Flydigi Family!  "
"9","Art B","Reviewed in the United States on February 13, 2024","5.0 out of 5 stars","        All around very solid performance.SpaceStation software is nice however there seems to be a bug that recognizes two inputs at times, not sure why it happens but it seems related to changing configs.I'm on Windows 10 / Steam / Rocket League. I like the USB wireless mode and I found that starting the software and connecting the controller before jumping into a game works best. I also disabled Steam Input.The button pad might not be mecha-tactile like the Apex 3 Elite but they feel nice. Though I can't spam buttons as fast as I used to on my DS4. Buttons are a little smaller than the DS4 buttons also.Concave thumbsticks took a little getting used to coming from DS4, and they are swappable, however there are only the two that came with the controller. I would like to see a Thumbstick pack from Flydigi with some convex and different height options.Hall effect sensors seem to work nicely.Good value.  "
"10","C.Rod","Reviewed in the United States on February 23, 2024","5.0 out of 5 stars","        I've been waiting for hall effect controller to be released that had sensible bottom buttons and it turns out to be FLYDIGI. If you aren't interested in Hall Effect or don't even know what that is then there are probably better controllers out there that cost more. For those of us who are absolutely sick of having to constantly fix or purchase a new controller because of stick drift then you already have purchased a controller with Hall Effect sticks but the options are limited. Most don't even have back buttons. I had purchased a Gamesir previously and it performed great but the back buttons were placed in such a way that if you held the controller tight during a period of furious action you couldn't help but press them. It was maddening that when making a mistake was the most costly was almost always the time you'd accidentally touch them. I started checking Amazon on a regular basis for controllers that would be new products that included Hall Effect sticks and sensible back buttons. A few days ago the FLYDIGI Vader 3 Pro shows up in my product search and here we are. After having used it for over 24 hours I can say it's perfect. The software is not intuitive but has all the features that any other competent manufacturer has. Nice job, FLYDIGI!  "
