"","Name","Price","Rating","Reviews","Ratings"
"1","Logitech G305 LIGHTSPEED Wireless Gaming Mouse, HERO 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black  ","£35.99£35.99","16,083","4.6 out of 5 stars",NA
"2","Gaming Headset Stereo Surround Sound Gaming Headphones with Breathing RGB Light & Adjustable Mic for PS4 PS5 PC Xbox One Laptop Mac  ","£53.99£53.99","12,719","4.4 out of 5 stars",NA
"3","HyperX Cloud II – Gaming Headset PC/PS4/PS5, Red  ","£19.99£19.99","60,858","4.6 out of 5 stars",NA
"4","WESEARY Wireless Gaming Headsets for PS5, PS4, PC, Switch, Mac, 7.1 Stereo Bluetooth Gaming Headphones with 50mm Drivers, 2.4GHz USB Gamer Headphones with Crystal-Clear Mic, 50Hr Battery, Cool RGB  ","£29.99£29.99","433","4.3 out of 5 stars",NA
"5","Gaming Keyboard and Mouse and Mouse pad and Gaming Headset, Wired LED RGB Backlight Bundle for PC Gamers Users - 4 in 1 Gift Box Edition Hornet RX-250  ","£28.25£28.25","18,601","4.4 out of 5 stars",NA
"6","Pacrate Gaming Headset for PS4 PS5 Switch Xbox One Headset with Noise Cancelling Mic Wired Headset with LED Light for Mac Laptop PC Gaming Headset Soft Memory Earmuffs,Black Green  ","£39.99£39.99","22,169","4.3 out of 5 stars",NA
"7","Logitech G203 LIGHTSYNC Gaming Mouse with Customizable RGB Lighting, 6 Programmable Buttons, Gaming Grade Sensor, 8K DPI Tracking, Lightweight - Black  ","£23.49£23.49","12,908","4.6 out of 5 stars",NA
"8","Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black  ","£41.66£41.66","6,015","4.6 out of 5 stars",NA
"9","Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black  ","£16.99£16.99","10,147","4.5 out of 5 stars",NA
"10","Logitech G915 LIGHTSPEED TKL Tenkeyless Wireless Mechanical Gaming Keyboard with low profile GL-Tactile key switches, LIGHTSYNC RGB, Ultra thin design, 40+ hours battery life, QWERTY UK Layout - Black  ","£19.99£19.99","3,225","4.5 out of 5 stars",NA
