"","Name","Date","Individual_Rating","Review"
"1","Amazon Customer","Reviewed in the United Kingdom on 3 August 2023","4.4 out of 5 stars",NA
"2","Amazon Customer","Reviewed in the United Kingdom on 2 July 2023","Previous page",NA
"3","caz s","Reviewed in the United Kingdom on 19 December 2022","4.5 out of 5 stars",NA
"4","lynn mason","Reviewed in the United Kingdom on 23 April 2023","4.4 out of 5 stars",NA
"5","Carol McEwan","Reviewed in the United Kingdom on 17 February 2023","4.5 out of 5 stars",NA
"6","Mrs T","Reviewed in the United Kingdom on 18 January 2022","4.5 out of 5 stars",NA
"7","alfcambs","Reviewed in the United Kingdom on 15 August 2022","4.6 out of 5 stars",NA
"8","kizzer","Reviewed in the United Kingdom on 6 February 2022","4.5 out of 5 stars",NA
"9","Mrs SHSW","Reviewed in Italy on 22 August 2023","Next page",NA
"10","Starlightuk","Reviewed in Spain on 3 October 2022","4.4 out of 5 stars",NA
"11","Paola","Reviewed in France on 5 January 2023","Previous page",NA
"12","Iria F.M.","Reviewed in Italy on 21 July 2022","Next page",NA
"13","Ilona","Reviewed in Italy on 21 February 2022","4.4 out of 5 stars",NA
"14","Gino",NA,"5.0 out of 5 stars",NA
"15","Angela",NA,"Previous page",NA
"16",NA,NA,"Next page",NA
"17",NA,NA,"1 Star",NA
"18",NA,NA,"5.0 out of 5 stars",NA
"19",NA,NA,"5.0 out of 5 stars",NA
"20",NA,NA,"4.0 out of 5 stars",NA
"21",NA,NA,"5.0 out of 5 stars",NA
"22",NA,NA,"5.0 out of 5 stars",NA
"23",NA,NA,"5.0 out of 5 stars",NA
"24",NA,NA,"4.0 out of 5 stars",NA
"25",NA,NA,"5.0 out of 5 stars",NA
