"","speakerName","speakerPrice","speakerRatings","speakerReview"
"1","Cardo Speaker Audio Set 45 mm","£314.10£314.10","4.3 out of 5 stars","3"
"2","Edifier S350DB Bookshelf Speaker and Subwoofer 2.1 Speaker System Bluetooth v4.1 aptX Wireless Sound For Computer Rooms, Living Rooms and Dens","£33.32£33.32","4.3 out of 5 stars","396"
"3","16x Ceiling Speaker Bluetooth Background Music System Shop Restaurant Kitchen","£80.10£80.10","4.3 out of 5 stars","396"
"4","Denon SCN10 Speakers, Two-Way HiFi Speakers for TV Sound System, 2x 65W, Compatible with Receivers & Amplifiers, Elegant Design - Grey","£189.85£189.85","4.4 out of 5 stars","53"
"5","Denon Home 550 Compact Sound Bar for TV, Bluetooth Soundbar for Surround Sound System, Dolby Atmos & DTS:X, Dolby Vision, HEOS Built-In, WiFi, Airplay 2, Alexa Built-In - Black","£107.99£107.99","4.6 out of 5 stars","79"
"6","Systemline E50 Built-In Bluetooth Amplifier Hi-Fi Speaker System (White) & 6.5"" Ceiling Speakers (2 Pair 6.5"" Qi65CB Ceiling Speakers)","£212.51£212.51","4.6 out of 5 stars","789"
"7","Herdio 6.5 Inch Ceiling Speakers, 320W 2-Way in Ceiling Speakers Perfect for kitchen, bathroom, living room - A Pair","£629.95£629.95","4.7 out of 5 stars","439"
"8","LuluDa 4 PCS Speaker 3 Watt 8 Ohm Mini Speaker 8ohm 3w Loundspeaker Micro Linksys HDMI Speaker For Small Electronic Projects Advertising Machines LCD TV Monitors Black","£274.99£274.99","4.4 out of 5 stars","189"
"9","Herdio 5.25 Inches 300 Watts Round Bluetooth Ceiling Speakers 2 Way Flush Mount Sound Bathroom Speaker For Bedroom Home Living Room","£188.10£188.10","4.6 out of 5 stars","654"
"10","JBL Stage2 604C 2-Way Car Audio System - 270 Watt Component Car Speaker Box Set with 6.5"" inch (160mm) In-Dash Speakers and In-Dash Tweeter","£91.66£91.66","4.4 out of 5 stars","4"
"11","Loops 100W Speaker System - Bluetooth In-Wall Mounted Amplifier - 4x 80W Moisture Resistant Stereo Bathroom Ceiling Speaker Kit - Wireless Music Streaming Amp","£24.29£24.29","4.5 out of 5 stars","29"
"12","Pyle Outdoor Waterproof Wireless Bluetooth Speaker - 3.5 Inch Pair 3-Way Active Passive Weatherproof Wall, Ceiling Mount Dual Speakers System w/Heavy Duty Grill, Patio, Indoor Use PDWR42BBT (Black)","£33.29£33.29",NA,"769"
"13","4 Way Loudspeaker Selector","£35.82£35.82",NA,"9"
"14","JBL Quantum Duo gaming speakers, USB powered, pc speakers, powerful JBL sound with LED colour lights, in black","£27.40£27.40",NA,"173"
"15","Bluetooth Ceiling Music Kit 4 Zone Stereo Amp & 8x Low Profile HiFi Speaker","£314.10£314.10",NA,"473"
"16","Polk Audio Atrium 8 Speaker - Black","£29.16£29.16",NA,"53"
"17","Loops 120W 5.25” Indoor/Outdoor Active Bluetooth Wall Speakers – Pair of Black Stereo Wireless Music Streaming Speakers – IP56 External Weatherproof Garden Bar/Hot Tub Audio Home Entertainment System","£404.10£404.10",NA,"396"
"18","Adastra 2x Black Wall Mountable Surround Sound Home Audio Hi-Fi Speakers 60W","£494.10£494.10",NA,"219"
"19","Panasonic GN01E Sound Slayer Wearable Immersive Gaming Speaker System, built in Microphone with Echo Cancelling - Black","£91.66£91.66",NA,"138"
"20","JBL Club 6520 2-Way Car Speaker Set by Harman Kardon - 150 Watt Car Audio System 16.5 cm / 6-1/2 inch Car Speakers","£99.99£99.99",NA,"33"
