"","Name","Price","Rating","Reviews"
"1","VGUARD Gaming Mouse, Comfortable Wired USB Optical RGB Ergonomic Mice for PC Computer Laptop, 6 Programmable Buttons, 4 Adjustable Sensitivity, 7 Colors LED Backlight - Black(Upgraded Version)  ","£9.99£9.99","6,315","4.5 out of 5 stars"
"2","Toshiba Canvio Partner 1TB Portable 2.5"" External HDD, USB 3.2 Gen 1, Mac and Windows Compatible, USB Powered  ","£15.82£15.82","98,952","4.6 out of 5 stars"
"3","SteelSeries Apex 3 TKL - RGB Gaming Keyboard - Tenkeyless Compact Esports Form Factor - 8-Zone RGB Illumination - IP32 Water & Dust Resistant - English QWERTY Layout  ","£44.16£44.16","965","4.6 out of 5 stars"
"4","SteelSeries Rival 3 Wireless - Wireless Gaming Mouse - 400+ Hour Battery Life - Dual Wireless 2.4 GHz and Bluetooth 5.0 - 60 Million Clicks - 18,000 CPI , Black  ","£43.17£43.17","17,157","4.4 out of 5 stars"
"5","Logitech G PRO X SUPERLIGHT 2 LIGHTSPEED Wireless Gaming Mouse, Lightweight, LIGHTFORCE Hybrid Switches, HERO 2 Sensor, 32,000 DPI, 5 Programmable Buttons, USB-C Charging, PC & Mac - Black  ","£44.99£44.99","8,321","4.6 out of 5 stars"
"6","SteelSeries Apex Pro TKL HyperMagnetic Gaming Keyboard - Adjustable Actuation - Esports Tenkeyless - OLED Screen - PBT Keycaps - USB-C - 2023 Edition - English QWERTY Layout  ","£31.49£31.49","5,631","4.4 out of 5 stars"
"7","Hcman RGB Gaming Mouse Mat Pad Large Thick(800×300×4mm) XXXL Extended Led Mousepad with Non-Slip Rubber Base, Soft Computer Keyboard Mice Mat for Macbook, PC, Laptop, Desk - Black  ","£49.49£49.49","13,162","4.6 out of 5 stars"
"8","NEWMEN GM610 Wireless Mechanical Keyboard,60% USB C Wired/Bluetooth/2.4Ghz RGB Backlit Compact Hot Swappable Keyboard,White Anti-Ghosting PC Mac Windows Android Gaming Keyboard(Red Switches)  ","£143.10£143.10","1,064","4.2 out of 5 stars"
"9","Razer DeathAdder Essential (2021) - Wired Gaming Mouse (Optical Sensor, 6400 DPI, 5 Programmable Buttons, Ergonomic Form Factor) Black  ","£170.99£170.99","26,828","4.5 out of 5 stars"
"10","Meatanty Undetectable Mouse Mover Usb Physical Mouse Jiggler Moves Mouse Randomly, Automatic Mouse Mover Device with LED Display and ON/OFF Switch, Running Frequency Adjustable, Keeps PC Laptop Active  ","£19.16£19.16","1,831","4.5 out of 5 stars"
"11","Orzly Gaming Keyboard RGB USB Wired Rainbow Keyboard Designed for PC Gamers, PS4, PS5, Laptop, Xbox, Nintendo Switch, RX250-K Hornet Edition (Black)  ","£24.99£24.99","1,526","4.1 out of 5 stars"
"12","Logitech G G213 Prodigy Gaming Keyboard, LIGHTSYNC RGB Backlit Keys, Spill-Resistant, Customizable Keys, Dedicated Multi-Media Keys, QWERTY UK Layout - Black  ","£33.32£33.32","8,179","4.3 out of 5 stars"
"13","Razer Basilisk V3 - Customizable Ergonomic Gaming-Mouse with fastest Mouse Switch, 26K dpi Optical Sensor (Chroma RGB Lighting, 11 Programmable Buttons, HyperScroll Tilt Wheel) Black  ","£52.49£52.49","5,594","4.7 out of 5 stars"
"14","HyperX Cloud Alpha Wireless - Gaming Headset for PC, 300-hour battery life, DTS Headphone:X Spatial Audio, Memory foam, Dual Chamber Drivers, Noise-cancelling mic, Durable aluminium frame  ","£20.79£20.79","3,131","4.3 out of 5 stars"
"15","TECKNET Wireless Gaming Mouse 2.4G Optical USB Computer Mice, 8 Buttons, 4800DPI Nano Receiver for Win11, Win10, Win8, Win7, Windows XP, Vista, MAC  ","£24.99£24.99","8,551","4.3 out of 5 stars"
"16","RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, UK Layout Mechanical Feel Keyboard + 7D 3200DPI Mice for PC Gamer (Black)  ","£19.99£19.99","562","4.2 out of 5 stars"
"17",NA,"£24.99£24.99",NA,"4 Stars & Up"
"18",NA,"£16.66£16.66",NA,"3 Stars & Up"
"19",NA,"£20.82£20.82",NA,"2 Stars & Up"
"20",NA,"£55.43£55.43",NA,"1 Star & Up"
"21",NA,"£41.66£41.66",NA,NA
"22",NA,"£49.99£49.99",NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
