"","Name","speakerPrice","speakerRatings","speakerReview"
"1","Dell KM7321W Premier Multi-Device Wireless Keyboard and Mouse, UK (QWERTY), 2.4GHz, Bluetooth 5.0, 128-bit AES Encryption, 4000 dpi, Compatible with Windows, Mac, Linux, Chrome and Android, (Grey)","£15.82£15.82","4.6 out of 5 stars.","5,034"
"2","Razer Cynosa V2 - Membrane Gaming Keyboard (Keyboard with Soft Spring-Loaded Keys, Media Keys, Cable Management, Fully Programmable, RGB Chroma Lighting) UK Layout | Black","£24.07£24.07","4.4 out of 5 stars.","26,404"
"3","Lumsburry Rainbow LED Backlit 88 Keys Gaming Keyboard(UK Layout), Compact Keyboard with 12 Multimedia Shortcut KeysUSB Wired Keyboard for PC Gamers Office","£30.82£30.82","4.3 out of 5 stars.","4,422"
"4","CORSAIR K55 RGB PRO Membrane Wired Gaming Keyboard – IP42 Dust and Spill-Resistant – 6 Macro Keys with Elgato Integration – iCUE Compatible – QWERTY UK – PC, Mac, Xbox – Black","£14.99£14.99","4.6 out of 5 stars","1,992"
"5","CHERRY KC 200 MX, mechanical office keyboard, British layout (QWERTY), elegant design with anodized metal plate, wired, MX2A SILENT RED switches, Black/Bronze","£24.99£24.99","4.5 out of 5 stars","3,190"
"6","Microsoft Wired Keyboard 600, UK Layout - White","£41.62£41.62","4.4 out of 5 stars","2,820"
"7","cimetech 2.4G Wireless Keyboard, QWERTY UK Full-Size Layout, USB Computer Keyboard with Numeric Keypad & Ergonomic Keys for Desktop/PC/Laptop/Surface/Smart TV/Notebook and Windows - Black","£49.99£49.99","4.6 out of 5 stars","147"
"8","Microsoft Wireless Comfort Desktop 5050 UK QWERTY Keyboard, Black","£12.49£12.49","4.4 out of 5 stars","513"
"9","Razer Cynosa Lite - Essential Gaming Keyboard (Fully Programmable, RGB Chroma Lighting, Gaming Grade Keys, 10 Key Roll-Over, Spill Resistant) UK Layout | Black","£15.82£15.82","4.4 out of 5 stars","886"
"10","CORSAIR K70 CORE RGB Mechanical Wired Gaming Keyboard with Palmrest – Pre-lubricated Corsair MLX Red Linear Switches – Sound Dampening – iCUE Compatible – QWERTY UK – PC, Mac, PS5, PS4, Xbox – Black","£72.78£72.78","4.5 out of 5 stars","3,190"
"11","Logitech MK295 Silent Wireless Mouse & Keyboard Combo with SilentTouch Technology, Full Numpad, Advanced Optical Tracking, Lag-Free Wireless, 90% Less Noise, QWERTY UK English Layout - Black","£53.99£53.99","4.5 out of 5 stars","720"
"12","MageGee 75% Mechanical Gaming Keyboard with Red Switch, LED Blue Backlit Keyboard, 87 Keys Compact TKL Wired Computer Keyboard for Windows Laptop PC Gamer - Grey/White","£11.66£11.66","4.0 out of 5 stars","18"
"13","60% Gaming Keyboard, 87 Keys Mechanical Feeling Multi Color RGB Illuminated LED Backlit Wired Light Up Keyboard, Anti ghosting Mini Compact Waterproof TKL PBT Keycaps for PC/Laptop/Computer, Black","£14.16£14.16","4.4 out of 5 stars","12,425"
"14","HP Keyboard 100 - Wired USB with Height Adjust & Number Pad. Compatible with Windows PC, Notebook, Laptop, Mac","£24.37£24.37","4.3 out of 5 stars","2,361"
"15","NEWMEN GM326 Wired Gaming Keyboard,75% Percent TKL Hot Swappable Compact LED Backlit USB C Mechanical Gaming Keyboard with Knob for PC Windows Mac,QWERTY Layout,White,Red Switches","£37.49£37.49","4.0 out of 5 stars","10"
"16","Orzly Gaming Keyboard RGB USB Wired Rainbow Keyboard Designed for PC Gamers, PS4, PS5, Laptop, Xbox, Nintendo Switch, RX250-K Hornet Edition (Black)","£98.99£98.99","4.5 out of 5 stars","2,963"
"17","Arteck 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad and Media Hotkey for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7","£39.99£39.99","4.5 out of 5 stars","6,693"
"18","CiT KB-738 Premium Mini USB Keyboard - Black","£49.99£49.99","4.3 out of 5 stars","2,109"
"19","Apple Magic Keyboard: Bluetooth, rechargeable. Works with Mac, iPad or iPhone; British English, silver","£69.16£69.16","4.3 out of 5 stars","267"
"20","iClever Wireless Bluetooth Keyboard, Keyboard Rechargeable Bluetooth 5.1 Stable Connection to Multi Devices Silent Slim Keyboard for Mac, iPad, iPhone, iOS, Android, Windows, QWERTY UK Layout","£33.32£33.32","4.6 out of 5 stars","1,539"
