"","Name","speakerPrice","speakerRatings","speakerReview"
"1","Rii RK907 USB Wired Keyboard Full Size Office Keyboard Compatible with Mac PC Tablet Windows Android Microsoft UK Layout","£9.16£9.16","4.3 out of 5 stars","2,666"
"2","Kensington- wired keyboard for PC, Laptop, Desktop, Computer, notebook. USB Keyboard compatible with Dell, Acer, HP, Samsung and more, with UK layout - Black (1500109)","£8.99£8.99","4.5 out of 5 stars","7,810"
"3","Apple Magic Keyboard with Numeric Keypad: Bluetooth, rechargeable. Works with Mac, iPad or iPhone; British English, silver","£9.89£9.89","4.7 out of 5 stars","1,249"
"4","Rii Gaming Keyboard, RK100 Light Up Keyboard Mechanical Feeling Keyboard with 3 Single LED Backlit Color (Red/Purple/Blue)-UK Layout","£9.99£9.99","4.3 out of 5 stars","3,445"
"5","Kensington Wired Keyboard - AdvanceFit Slim Full Size USB Keyboard, Ideal Home Office, Quiet Type Keyboard, Compatible with Windows - Black (K72357UK)","£14.99£14.99","4.4 out of 5 stars","25,136"
"6","Logitech MK270 Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia and Shortcut Keys, 2-Year Battery Life, for PC, Laptop, QWERTY UK English Layout - Black","£17.99£17.99","4.3 out of 5 stars","2,107"
"7","Trust Taro Wired Keyboard, Qwerty UK Layout, Quiet Keys, Full-Size Keyboard, Spill-Resistant, 1.8 m Cable, USB Plug and Play, Keyboard for PC, Laptop, Mac - Black","£31.49£31.49","4.5 out of 5 stars","7,810"
"8","Logitech K120 Wired Business Keyboard for Windows or Linux, USB Plug-and-Play, Full-Size, Spill Resistant, Curved Space Bar, PC/Laptop, QWERTY UK Layout - Black","£13.27£13.27","4.6 out of 5 stars","6,286"
"9","CHERRY G80-3000N RGB TKL - Wired Gaming Keyboard without Numeric Keypad - RGB Lighting and Mechanical MX SILENT RED Switches - French Layout (AZERTY), Black","£31.49£31.49","4.4 out of 5 stars","4,422"
"10","Rii Gaming Keyboard, RK100 Plus Rainbow LED Backlit Keyboard Mechanical Feeling,USB Wired Keyboard for Working Gaming (UK Layout)","£39.28£39.28","4.4 out of 5 stars","471"
"11","Apple Magic Keyboard with Touch ID and Numeric Keypad: Bluetooth, rechargeable. Works with Mac computers silicon; British English, Black keys","£13.05£13.05","4.5 out of 5 stars","7,810"
"12","NEWMEN GM610 Wireless Mechanical Keyboard,60% USB C Wired/Bluetooth/2.4Ghz RGB Backlit Compact Hot Swappable Keyboard,White Anti-Ghosting PC Mac Windows Android Gaming Keyboard(Red Switches)","£14.99£14.99","4.6 out of 5 stars","1,947"
"13","Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard with Numeric Keypad for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7 Built in Rechargeable Battery","£79.41£79.41","4.3 out of 5 stars","1,075"
"14","Dell 091A682 KB216 USB QWERTY English( UK Layout ) Black Keyboard - Keyboards (Standard, Wired, USB, QWERTY, Black)","£35.22£35.22","4.5 out of 5 stars","26,404"
"15","Logitech Wave Keys Wireless Ergonomic Keyboard with Cushioned Palm Rest - Graphite, QWERTY Pan Nordic Layout","£33.32£33.32","4.6 out of 5 stars","1,117"
"16","Kensington Pro Fit Washable Wired Keyboard, Full-Size with Numeric Keypad, Waterproof Design with USB Connection, Compatible with Windows & Apple, Durable Laser-Etched Keys for Extended Use - K64407UK","£52.49£52.49","4.5 out of 5 stars","27"
