"","speakerName","speakerPrice","speakerRatings","speakerReview"
"1","Logitech Z906 5.1 Surround Sound Speaker System, THX, Dolby & DTS Certified, 1000 Watts Peak Power, Multi -Device, Multiple Audio Inputs, UK Plug, PC/PS4/Xbox/Music Player/TV/Smartphone/Tablet","£33.32£33.32","4.7 out of 5 stars","3,014"
"2","Bose Home Speaker 500 with Amazon Alexa and Google Assistant Built In - Black","£80.72£80.72","4.4 out of 5 stars","1,054"
"3","Herdio 160W 4 Inch Ceiling Speaker Kit Amplifier Water Resistant Ceiling Speakers For Bathroom Kitchen Home Outdoor,compatible with Bluetooth","£107.99£107.99","4.3 out of 5 stars","773"
"4","Denon SCN10 Speakers, Two-Way HiFi Speakers for TV Sound System, 2x 65W, Compatible with Receivers & Amplifiers, Elegant Design - Black SCN10BKEM","£190.39£190.39","4.3 out of 5 stars","396"
"5","Sonos Amp SNS-AMPG1EU1BLK","£24.29£24.29","4.3 out of 5 stars","36"
"6","Trust Gaming GXT 658 Tytan 5.1 Surround Sound Speaker System, PC Speakers with Subwoofer, UK Plug, LED Illuminated, 180 W - Black/Blue","£33.29£33.29","4.4 out of 5 stars","542"
"7","LG Electronics SPK8 Kabellos Speaker System Black","£494.95£494.95","4.6 out of 5 stars","2,087"
"8","Logitech Z407 Bluetooth Computer Speakers with Subwoofer and Wireless Control, Space-Filling Sound, Premium Audio with Multiple Inputs, USB Speakers - Black","£91.66£91.66","4.5 out of 5 stars","2,122"
"9","Pioneer TS-G1030F 10cm 3-way Coaxial Speakers (210W)","£207.50£207.50","4.4 out of 5 stars","882"
"10","Bose Virtually Invisible791 In-Ceiling Speaker II - Black","£215.83£215.83","4.7 out of 5 stars","176"
"11","Edifier MR4 Powered Studio Monitor 2.0 Speakers 42 Watts (White)","£35.82£35.82","4.4 out of 5 stars","1,168"
"12","Audioengine A2+ Wireless Bluetooth Computer Speakers - 60W Music System for Home, Studio, Gaming (White, Pair)","£188.10£188.10","4.3 out of 5 stars","2,282"
"13","Herdio 160W 4 Inch Ceiling Bluetooth Speaker Kit Amplifier Water Resistant Ceiling Speakers For Bathroom Kitchen Home Outdoor (BLACK)","£28.55£28.55","4.3 out of 5 stars","773"
"14","Logitech Z533 multimedia speaker system black","£274.99£274.99",NA,"4,850"
"15","Panasonic SC-AKX520E-K 650W Wireless Megasound Hi-Fi Speaker System with Bluetooth and Karaoke,Black","£91.66£91.66",NA,"103"
"16","Panasonic SC-AKX710E-K 2000W Wireless Megasound Hi-Fi Speaker System with Bluetooth and Karaoke, Black","£99.99£99.99",NA,"158"
"17","Sangean PS-300 Pillow Speaker with In-line Volume Control and Amplifier (White)","£72.39£72.39",NA,"2,050"
"18","Systemline E50 Built-In Bluetooth Hi-Fi Speaker System and Q Acoustics Qi65CB Ceiling Speakers (2 Pair 6.5"" Qi65CB Ceiling Speakers)","£91.66£91.66",NA,"57"
"19","Herdio 4 Inches 160 Watts Bluetooth Ceiling Speakers For Bathroom, Kitchen,Living Room,Office (2 Pairs)","£99.99£99.99",NA,"253"
"20","i-Star Ceiling Bluetooth Speakers Complete Kit - Easy To Install Ceiling Speakers Fit in Existing Downlight Cut-Out Easy To Pair Bluetooth White","£449.10£449.10",NA,"714"
"21","Pioneer TS-G1010F 10cm Dual Cone Speakers (190W) , Black","£33.32£33.32","4.4 out of 5 stars","1,914"
"22","JBL Club 6520 2-Way Car Speaker Set by Harman Kardon - 150 Watt Car Audio System 16.5 cm / 6-1/2 inch Car Speakers","£80.72£80.72","4.4 out of 5 stars","474"
"23","Edifier S350DB Bookshelf Speaker and Subwoofer 2.1 Speaker System Bluetooth v4.1 aptX Wireless Sound For Computer Rooms, Living Rooms and Dens","£107.99£107.99","4.4 out of 5 stars","1,436"
"24","JBL Quantum Duo gaming speakers, USB powered, pc speakers, powerful JBL sound with LED colour lights, in black","£190.39£190.39","4.4 out of 5 stars","655"
"25","LuluDa 4 PCS Speaker 3 Watt 8 Ohm Mini Speaker 8ohm 3w Loundspeaker Micro Linksys HDMI Speaker For Small Electronic Projects Advertising Machines LCD TV Monitors Black","£24.29£24.29","4.4 out of 5 stars","235"
"26","Klipsch R-40SA Dolby Atmos Surround Sound Speakers (Pair)","£33.29£33.29","4.4 out of 5 stars","61"
"27","JBL Stage2 524 2-Way Car Speakers Set - 210 Watt JBL Car Audio 5-1/4 inch","£494.95£494.95","4.5 out of 5 stars","516"
"28","e-audio 5.25 3-Way Background Music Speakers With Brackets 160W 4 Ohm","£91.66£91.66","4.5 out of 5 stars","5"
"29","JBL Stage2 604C 2-Way Car Audio System - 270 Watt Component Car Speaker Box Set with 6.5"" inch (160mm) In-Dash Speakers and In-Dash Tweeter","£207.50£207.50","4.5 out of 5 stars","441"
"30","Audioflow 4 Way Speaker Switch Selector Box Smart Wi-Fi","£215.83£215.83","4.3 out of 5 stars","77"
"31","Cardo Speaker Audio Set 45 mm","£35.82£35.82","4.6 out of 5 stars","1,361"
