"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Nic B.","Verified Purchase","Reviewed in Australia on 20 February 2024","4.5 out of 5 stars","        I read good things about these in audiophile forums and wasn't disappointed.They have surprisingly good clarity, resolution and instrument separation for the price.Their sound is on the bright side of things, but not fatiguing. It's a shade brighter than neutral. There can be the occasional sharp spike in the high-mids, but not bothersome.But it depends on the person's taste. If you like a warm/dark sounding IEM then these are probably not for you.The bass is tight and lean, it's not woofy or artificial. If you're a bass head then it's probably not going to be enough for you, but if you like ""accurate"" bass then you will like these. The rumble is there, but it takes more of a supportive role than a primary role.The soundstage is accurate. Not overly wide, not overly narrow. You get the punch in the middle while getting a good amount of width. The imaging is good, I can easily pick out where each instrument is coming from.The comfort okay, not bad, not great. I can't wear them for more than 1.5 hrs before I start to wanna take them off. But I've got stiff cartilage in my ears which makes them sensitive to pressure over time, so most ppl should be fine.They are more comfy than my previous Bluetooth IEMs though.I don't love the look of the cable but it's not a deal breaker. Seems to sound good.Build quality is great with the all metal shells. I have no fear of them breaking in my pocket.I'm surprised they are this cheap, they're really good. Don't get me wrong, they're not gonna wow you as much as some great headphones, but their Amazon rating should be higher than 4.4. I bought some Bluetooth earphones for around the same price a few years ago and these are twice as good. These are underrated.Easy to drive too. I have them playing through my phone.  "
"2","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","kriss vanags","Verified Purchase","Reviewed in Australia on 8 January 2024","5.0 out of 5 stars","        Great sound from the headphones, sounds perfect with very pleasant frequency curve.  "
"3","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Leave the 🔫 Take the Catnip","Verified Purchase","Reviewed in Australia on 11 October 2023","5.0 out of 5 stars","        Nearly as good as my X2HR, for much less money.  "
"4","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Sung Kim","Verified Purchase","Reviewed in Australia on 16 July 2023","5.0 out of 5 stars","        It is way better than I expected. I’m fully satisfied with its quality, sound and fast delivery as well.  "
"5","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","NCEE","Verified Purchase","Reviewed in Germany on 19 December 2023","5.0 out of 5 stars","        I couldn't find anything I didn't like about this budget iem. I did however change the cable and the tips because I had some laying around. Having a good ear seal is essential if you want get the experience everyone is having with these beauties. Stock, they were impressive but now they are awesome, well for the price that's for sure. You won't need any special audio equipment to make these sound good.I did try a few simple mods to see what could be done with these puppies and I was yet again impressed by one mod that I use on my letshuoer s12s. Instead of describing what I did, just search for ""letshuoer s12 micropore tape"" on YouTube. This gave me more bass and a wider sound stage. Well, to my ears it did, but it might be different for yours but the mod is worth a try :)You can't go wrong with these. Enjoy them!  "
"6","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Mendias","Verified Purchase","Reviewed in Mexico on 19 January 2024","5.0 out of 5 stars","      Sonido balanceado y cristalino, una muy buena escena sonora, y excelente detalle. Llegó sin inconvenientes.    "
"7","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","AMADOR","Verified Purchase","Reviewed in Spain on 14 October 2023","5.0 out of 5 stars","      Iems altamente recomendables...muy contento con la compra    "
"8","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","William Munn","Verified Purchase","Reviewed in the United States on 9 March 2024","5.0 out of 5 stars","        I am very picky when it comes to sound quality. It is astonishing you can get something that sounds this amazing for $39Up until now I have avoided IEM because of fitment issues. These are a nice size and quite comfortable. The silicone tips that came with them are not for me. I ordered a variety pack of foam tips and the large ones were just the ticket. I struggled until that point getting a good seal, and was somewhat disappointed with the low end. Once the proper tips for me were put on, now the seal is tight and sounds perfect on the bottom end.If you like a nice clean open sound, with crystal clear mids and highs, with a generally solid bottom end, these are great. The sub frequencies are present and accounted for, just don't slam like some people like.These are exceptionally easy to drive so no extra stuff is needed. a simple usb c dongle is fine.  "
"9","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","William Munn","Verified Purchase","Reviewed in the United Kingdom on 14 March 2024","5.0 out of 5 stars","        Fantastic sound quality yet more affordable than most on-the-market big brand products.  For a first timer who just got exposed to IEM, the sound is like opening to a whole new experience of music.  "
"10","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","yeye ","Verified Purchase","Reviewed in Canada on 13 February 2024","5.0 out of 5 stars","        I watched a lot of reviews and many people have been hyping these IEMs up with positive reviews. I'm just a casual listener but after trying this one, I can definitely say these are really good. The IEMs itself feel premium with its metal coating. It feels heavy in hand and the sound places the vocals in front of the instruments. The bass is decent, not too bass heavy but it's there. It just sounds great with general music listening (pop) and content watching. Gaming wise I feel like it's better if you get another IEM as the soundstage is not too wide in my opinion, so intricate sounds like footsteps is harder to pinpoint the exact direction. For the price, I thought it's a really good purchase for a daily earphone.  "
"11","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Wes Lee","Verified Purchase","Reviewed in the United Kingdom on 13 January 2024","5.0 out of 5 stars","        I purchased these for sim racing whilst using a VR headset when over ears are too heavy.I was recommended these by a post online and am not disappointed. The packaging is top class and the build quality of the earphones is excellent.I've found the sound quality brilliant but I'm certainly not an audiophile so wouldn't want to comment on that front.  "
"12","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Malaca","Verified Purchase","Reviewed in Germany on 23 January 2024","5.0 out of 5 stars","      .....aber diese hier sind einfach nur👌🏽🥳👍🏽-Kaufen-Warten (kurz)-Entgegen nehmen-Auspacken-Staunen-Anschließen-Glücklich sein 😎Also für IEM's dieser Preisklasse einfach nur WoW 😁-Top Verarbeitung-Top ZubehörKann Bedenkenlos Empfohlen und Gekauft werden. ✌🏽😎LINSOUL SIMGOT EA500 Rockt.    "
"13","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Malaca","Verified Purchase","Reviewed in Mexico on 2 February 2024","4.5 out of 5 stars","      Quedé sorprendido con la calidad de su materiales y lo más importante la calidad de sonido lo uso con un dac y quedé fascinado  y por su precio fue una buena comprá    "
"14","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Ricardo","Verified Purchase","Reviewed in Spain on 8 October 2023","5.0 out of 5 stars","      Lo que me llamó la atención de estos auriculares fue que se ofrece en su propia caja la gráfica de respuesta de frecuencias. Es demasiado habitual encontrar auriculares en los que el anunciante promete una fantástica calidad de sonido, pero pocas veces ofrece la respuesta de frecuencias.La calidad de sonido siempre será una cuestión personal, pero este modelo da lo que promete de forma objetiva. Su respuesta de frecuencias, mostrada en gráfica, es congruente para unos auriculares intraurales, con la típica caída en la parte alta del espectro en este tipo de dispositivo, lo que otorga un sonido fiel a la grabación. Si alguien prefiere realces en graves, medios o agudos, siempre podrá acudir a una ecualización básica, pues la buena respuesta de frecuencia de estos auriculares permite cambios audibles con leves ajustes.Por otro lado el tacto de los auriculares muestra una excelente calidad de fabricación.No veo la necesidad de gastar más dinero para obtener mejor calidad de sonido en unos auriculares intraurales; ni tampoco una mejor estética, para quien sea sensible a las apariencias.    "
"15","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Ricardo","Verified Purchase","Reviewed in France on 7 March 2024","5.0 out of 5 stars","      Produit de bonne qualité pour le prix. Les bass, les medium et les aigus sont claires et précises. Les IEM sont relativement léger qu'on pourrait oublié qu'ils sont dans nos oreilles. Après si les aigus sont trop présente a votre goût utiliser l'égaliseur qui est dispo sur vos appareils d'écoute pour les réduire.    "
"16","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","John","Verified Purchase","Reviewed in Italy on 3 January 2024","5.0 out of 5 stars","      Premessa: cos'è la vita senza musica ?...Per me si traduce più che altro in: cos'è la musica senza i dIRE sTRAITS ?... Scherzo ovviamente... c'è anche  altro... (o no ?...). Scherzi a parte parliamo di queste Cuffie, che dire, così come scritto nel titolo, sono (esteticamente) dei gioiellini, e si sentono molto molto bene! Li ho preferiti dopo aver letto le entusiastiche recensioni sui vari siti del settore, head-fi.org in primis, e senza farla troppo lunga, sono parecchio d'accodo con loro.Credo che sia impossibile trovare qualcosa di meglio a questo prezzo, specie con driver singolo. Di mio ho fatto 2 confronti: 1) Truthear Hexa e Questi: Hexa un pò più ""brillanti"", ma con meno bassi, anche se equalizzando un po' si risolve, Questi: Bassi pieni e corposi, medi ottimi, al pari o quasi degli Hexa, medioalti molto molto buoni, alti un po' setosi. Palcoscenico meglio questi, un pò più ampio. 2) Cuffie fai da te,(Vedi foto) *Coppe in ciliegio (100 €),*Driver Free Edge in Biocellulosa da 32 ohm, 110 db (120 €), con Earpads in Pelle Customizzati (20 €)  (Over Ear, Cloni delle mitiche R10 !) Queste si avvicinano molto, ma *per me* non competeranno mai con delle buone Over Ear in quanto a Palcoscenico. *Se dovreste acquistarle ? **Assolutamente SI**, specie per l'uso in mobilità, valgono ogni centesimo!    "
"17","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Geronimo Kid","Verified Purchase","Reviewed in Spain on 1 December 2023","5.0 out of 5 stars","      Os especialistas dizem que são bons eu também acho que vale bem o preço    "
"18","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Geronimo Kid","Verified Purchase","Reviewed in Germany on 28 June 2023","5.0 out of 5 stars","      Klarer sound angenehm zu tragen. Ich trage sie auf der Bühne top 40 und bin total begeistert    "
"19","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Alberto Pereira","Verified Purchase","Reviewed in Germany on 7 October 2023","5.0 out of 5 stars","      Zuerst das Negative:Der Frequenzgang gefällt mir persöhnlich nicht sonderlich, ich würde ihn aber nicht schlecht nennen, viele mögen das so. Dadurch, dass es keine krassen peaks oder dips gibt, ist er auch sehr einfach mit EQ zu verändern. In meinen Ohren sitzen die IEMs leider nicht sehr komfortabel, das wird aber wieder von der Person abhängen.  Was mir negativ am Klang aufgefallen ist, ist, dass er nicht sonderlich natürlich klingt und es sich manchmal so anhört, als würden die Instrumente nicht richtig zusammen funktionieren. Er klingt generell sehr trocken und weniger ""abgeschlossen"", was glaube ich mit der Geschwindigkeit des verwendeten Treibers zusammen hängt.  Die Stimme ist meistens nicht sonderlich fokussiert, sondern steht eher im ganzen Raum, wovon ich kein Fan bin.Damit sind wir beim Positiven: Der IEM ist enorm hochauflösend. So, wie ich es noch nie bei einem IEM gehört habe, inklusive vielen, die bis zu dem Zehnfachen kosten. Immer wenn ich mit anderen IEMs Künstler wie Bob Dylan oder Faber höre, habe ich das Gefühl die Textur auf der Stimme komme nicht richtig rüber, wenn man es mit einem HD600 vergleicht. Das ist natürlich nicht fair, und ich sage nicht, dass der ew200 ganz da ist, aber ich habe zumindest nie das Gefühl, dass ich etwas verpasse. Die Klarheit und Seperation der einzelnen Details ist auch wirklich enorm gut. Ich habe gestern eine Vorlesung mit dem HD600 geguckt und dann zu dem ew200 gewechselt und mir ist sofort ein ganz eindeutiger Hall im Raum aufgefallen, den ich vorher nicht gehört hatte. Der Bass ist ohne EQ sehr laut, ich habe ihn 7db runtergestellt, was theoretisch deutlich niedriger ist, als ich normalerweise höre, aber der ""punch"" ist so gut, dass mir das garnicht so vorkommt. Im vergleich zu etwas wie dem 7hz Timeless ist das wirklich Tag und Nacht. Da ist der Bass noch lauter, aber es gibt garkeinen richtigen impact. Sachen wie die Textur auf der Stimme kommen da auch so gut wie garnicht rüber. Generell ist Einzige, was der Timeless besser macht das aufgeräumt sein und die Kohärenz des Klangs. Könnte ich nur einen behalten, würde ich auf jeden Fall diesen nehmen. Wenn ihr von etwas, wie einem Truthear Hola kommt, ist die Auflösung eine komplett andere Welt, ich könnte mir sogar vorstellen, dass sie am Anfang überfordert.    "
"20","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Bogatz","Verified Purchase","Reviewed in the United Kingdom on 22 January 2024","5.0 out of 5 stars","        This is my second budget IEM after the Salnotes 7hz Zero. With these you get a substantial improvement in build quality for that single step up the price ladder, with a nice metal shell that I find very comfortable to wear for prolonged periods (I find I enjoy putting them in when they're cold!) and decent quality braided cable. A lot has been written about how these sound, I'd just reiterate that they're on the brighter side than I'm used to, but not at all tiring, there is a richness and clarity with technical detail and a tight and precise bass response that I enjoy. This IEM journey has been a cautious one for me, I'm not ready to spend the sort of money I would on some decent open back headphones. But the Simgot EW200s represent excellent value for money in my opinion.  "
"21","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Vincent C","Verified Purchase","Reviewed in the United States on 8 December 2023","5.0 out of 5 stars","        I got these because at the time of purchase (fall 2023) these were often ranked the best IEM offering at $40 or below. So far I am really impressed with the sound and versatility of this set for a large variety of genres. Plentiful bass with a high quality tone, excellent male and female vocals, impactful percussion, well tuned and pleasant highs with good energy but not fatiguing or sibilant. They are comfortable in my ear. They look sharp too but are fingerprint magnets. A wonderful choice in this price range. I got mine for $31 for Black Friday and that is truly insane price for performance. I’m hooked, these will be my daily drivers / on-the-go set. Try the EW200 you will love them!  "
"22","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Vincent C","Verified Purchase","Reviewed in the United Kingdom on 24 November 2023","5.0 out of 5 stars","        PROS:- price / performance ratio- neutral sound signature- ample sound stage- decent cable- comfortable fit- all metal buildCONS:- included tips sub-par- slightly heavyIf you like neutral / balanced sound signature get these!For a single DD, the sound is well rounded and detailed.My pair got better afer burn-in, the highs got a bit tamer and the quantity of bass improved.Also if you EQ your IEMs, these react well.  "
"23","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Fabrizio","Verified Purchase","Reviewed in France on 17 February 2024","5.0 out of 5 stars","      Positivement surpris par la qualité au prix proposé. En dessous de 50€, c'est une des meilleures paires d'IEM.Le son est très bon. La construction est en métal et non en plastique. Le câble est de très bonne qualité pour un câble fourni avec.Niveau rapport qualité prix je suis bluffé, rien de négatif à dire.    "
"24","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Pedro R.","Verified Purchase","Reviewed in Italy on 5 December 2023","5.0 out of 5 stars","      Suono ultra definito, senti tutto quello che c’è nella traccia audio.Mancano i bassi ma su questa tipologia di auricolari è più che normale, Con un buon ampli cuffie si riesce ad attenuare il problema.Materiali top, è bello ascoltarle ma anche possederle,Buon cavo, per il modello in oggetto non  penso sarà necessario un up grading.    "
"25","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Swinnen marc","Verified Purchase","Reviewed in Mexico on 6 December 2023","5.0 out of 5 stars","      Todo muy bien, excelente bajos y buen sonido.    "
"26","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","Bagudna","Verified Purchase","Reviewed in Germany on 28 July 2023","5.0 out of 5 stars","        Good sound and fit  "
"27","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","AlfaLover","Verified Purchase","Reviewed in Germany on 2 March 2024","4.5 out of 5 stars","        Very good.  "
"28","Anker soundcore Life P3 Noise Cancelling Earbuds, Big Bass, 6 Mics, Clear Calls, Multi Mode Noise Cancelling, Wireless Charging, Soundcore App with Gaming Mode, Sleeping Mode, Find Your Earbuds  ","TroupALoop","Verified Purchase","Reviewed in the United Kingdom on 16 August 2023","5.0 out of 5 stars","        These are bright sounding iem,'s. No question with that. However they are not sibilant, and have a wonderfully natural timbre. Their soundstage, imaging and separation are in line with 200 pound iem's, at least from my experience of owning various iem's. I often use these for classical, jazz and acoustic based music. Heavier rock, pop, EDM, will probably benefit from more full midrange and bass.  "
