"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Samsung 3.5mm Earphone (EO-IA500), Black  ","teguh nistanto putra","Verified Purchase","Reviewed in Australia on 10 March 2024","4.3 out of 5 stars","        Best bluetooth gaming earbuds,  "
"2","Samsung 3.5mm Earphone (EO-IA500), Black  ","Daniel","Verified Purchase","Reviewed in Australia on 6 July 2022","5.0 out of 5 stars","        Good quality  "
"3","Samsung 3.5mm Earphone (EO-IA500), Black  ","teguh nistanto putra","Verified Purchase","Reviewed in Australia on 10 March 2024","3.0 out of 5 stars","        Got these for my son, he's very happy with them.  "
"4","Samsung 3.5mm Earphone (EO-IA500), Black  ","teguh nistanto putra","Verified Purchase","Reviewed in Australia on 25 December 2023","5.0 out of 5 stars","        These are without a doubt some of the most impressive earbuds you'll be able to buy in this price bracket, even better than many that are several times the price.Along with a sleek and stylish cyberpunk aesthetic, these earbuds have clear mid-high tones and a deep bass that's surprisingly good for their size, as the ""music mode"" definitely enhances this. Connects easily to my Galaxy S21 and has no connectivity issues whatsoever.I'd highly recommend these to anybody looking for a brilliant pair of budget earbuds, particularly if wanting to use them primarily for listening to music.  "
"5","Samsung 3.5mm Earphone (EO-IA500), Black  ","Adamisko","Verified Purchase","Reviewed in Australia on 19 February 2024","5.0 out of 5 stars","        I love this. My husband loves it too and wants one for himself. Thanks for this item. Worth it.!  "
"6","Samsung 3.5mm Earphone (EO-IA500), Black  ","rachel sabine","Verified Purchase","Reviewed in Australia on 31 December 2021","5.0 out of 5 stars","        very good product, 2nd pair i got as i lost the previous one, very happy with it!  "
"7","Samsung 3.5mm Earphone (EO-IA500), Black  ","Qualbert","Verified Purchase","Reviewed in Australia on 20 January 2024","5.0 out of 5 stars","        AS ADVERTISED!  "
"8","Samsung 3.5mm Earphone (EO-IA500), Black  ","Qualbert","Verified Purchase","Reviewed in Australia on 10 January 2024","5.0 out of 5 stars","        Awesome earbuds for listening to music and watching HD 4K Movies, battery last 4 half or so hours very easy to setup was pleasantly surprised  "
"9","Samsung 3.5mm Earphone (EO-IA500), Black  ","NurseJo ","Verified Purchase","Reviewed in Australia on 20 November 2023","5.0 out of 5 stars","        They work very well for the price tag  "
"10","Samsung 3.5mm Earphone (EO-IA500), Black  ","Yichao Li","Verified Purchase","Reviewed in Australia on 2 June 2023","5.0 out of 5 stars","        Used for playing music so far. Bass is fairly good, doesn't distort even at full volume. The controls do take a little getting used to since there's not a physical button and there can be a bit of a lag.Haven't worn it for extended periods or during exercise but seems to stay secure in ears and doesn't get particularly uncomfortable compared to what would be expected for the form factor  "
"11","Samsung 3.5mm Earphone (EO-IA500), Black  ","glennen2","Verified Purchase","Reviewed in Australia on 3 August 2023","5.0 out of 5 stars","        Just amazing. Beautiful design and user friendly features. The only problem found was in the user manual which the company should have put first time use rules up front and explain clearly. The product should also be fully charged by the company before use. The product itself is amazing though.  "
"12","Samsung 3.5mm Earphone (EO-IA500), Black  ","Amazon Customer","Verified Purchase","Reviewed in Australia on 16 June 2022","5.0 out of 5 stars","        My daughter loves them!  "
"13","Samsung 3.5mm Earphone (EO-IA500), Black  ","Amazon Customer","Verified Purchase","Reviewed in Australia on 10 March 2024","5.0 out of 5 stars","        I bought it for my 12 year old daughter and so far they are working all right, She is happy with them.  "
"14","Samsung 3.5mm Earphone (EO-IA500), Black  ","Samuel H.","Verified Purchase","Reviewed in Australia on 6 July 2022","5.0 out of 5 stars","        During phone calls very deep/bassey no other issues.  "
"15","Samsung 3.5mm Earphone (EO-IA500), Black  ","Chris","Verified Purchase","Reviewed in Australia on 25 September 2022","5.0 out of 5 stars","        These are so good I have bought a second pair as back up as I drive all the time and use them for directions.  "
"16","Samsung 3.5mm Earphone (EO-IA500), Black  ","David","Verified Purchase","Reviewed in Australia on 1 March 2023","5.0 out of 5 stars","        Easy to set up to ipad.  "
"17","Samsung 3.5mm Earphone (EO-IA500), Black  ","Teri O'Sullivan","Verified Purchase","Reviewed in Australia on 27 July 2022","4.3 out of 5 stars","        These buds are brilliant value for your money, they are exactly what they say they are  "
"18","Samsung 3.5mm Earphone (EO-IA500), Black  ","Muhammad Bilal","Verified Purchase","Reviewed in Australia on 25 November 2022","5.0 out of 5 stars","        as expected  "
"19","Samsung 3.5mm Earphone (EO-IA500), Black  ","Kyle","Verified Purchase","Reviewed in Australia on 22 May 2022","3.0 out of 5 stars","        These are really nice headphones, easy to connect, really good sound, and fits nicely in the ear  "
"20","Samsung 3.5mm Earphone (EO-IA500), Black  ","Darryl","Verified Purchase","Reviewed in Australia on 23 October 2022","5.0 out of 5 stars","        Awesome  "
"21","Samsung 3.5mm Earphone (EO-IA500), Black  ","Carmine mercurio","Verified Purchase","Reviewed in Australia on 1 July 2022","5.0 out of 5 stars","        Beautiful product for the price  "
"22","Samsung 3.5mm Earphone (EO-IA500), Black  ","Rowena ","Verified Purchase","Reviewed in Australia on 18 September 2022","5.0 out of 5 stars","        I ll buy again one more..for my brother..  "
"23","Samsung 3.5mm Earphone (EO-IA500), Black  ","Anisur Rahman","Verified Purchase","Reviewed in Australia on 29 December 2021","5.0 out of 5 stars",""
"24","Samsung 3.5mm Earphone (EO-IA500), Black  ","Amelia ","Verified Purchase","Reviewed in Australia on 10 June 2022","5.0 out of 5 stars","        These are by far the best ear buds money can buy. I have $300 ones $200 ones even $100 ones and a few around $50.. these are just value and do everything required, comfortable, light, funky, sound great..  "
"25","Samsung 3.5mm Earphone (EO-IA500), Black  ","Ali palzoni","Verified Purchase","Reviewed in Australia on 10 March 2024","5.0 out of 5 stars","        These are great specially for the price, you can't go wrong. You don't need spend more and buy something else. These are premium quality for such a low price. Highly recommended, quick shipping, genuine product. No noise cancelling but excellent noise isolation, comfortable fit, great looking. The LED on the earbuds won't fash while wearing them so you can use them as casual as well, it's great.  "
"26","Samsung 3.5mm Earphone (EO-IA500), Black  ","arun","Verified Purchase","Reviewed in Australia on 6 July 2022","5.0 out of 5 stars","        My son loves them.. he is very happy and there are still working well!  "
"27","Samsung 3.5mm Earphone (EO-IA500), Black  ","Peter Jason Ranosa","Verified Purchase","Reviewed in Australia on 28 February 2022","5.0 out of 5 stars","        Product works well. Quality seems good. Easy transaction.  "
