"","Title","Author","Subject","Abstract","Meta"
"1","Testing the $\mathbfΛ$CDM Cosmological Model with Forthcoming Measurements of the Cosmic Microwave Background with SPT-3G","K. Prabhu, S. Raghunathan, M. Millea, G. Lynch, P. A. R. Ade, E. Anderes, A. J. Anderson, B. Ansarinejad, M. Archipley, L. Balkenhol, K. Benabed, A. N. Bender, B. A. Benson, F. Bianchini, L. E. Bleem, F. R. Bouchet, L. Bryant, E. Camphuis, J. E. Carlstrom, T. W. Cecil, C. L. Chang, P. Chaubal, P. M. Chichura, T.-L. Chou, A. Coerver, T. M. Crawford, A. Cukierman, C. Daley, T. de Haan, K. R. Dibert, M. A. Dobbs, A. Doussot, D. Dutcher, W. Everett, C. Feng, K. R. Ferguson, K. Fichman, A. Foster, S. Galli, A. E. Gambrel, R. W. Gardner, F. Ge, N. Goeckner-Wald, R. Gualtieri, F. Guidi, S. Guns, N. W. Halverson, E. Hivon, G. P. Holder, W. L. Holzapfel, J. C. Hood, A. Hryciuk, N. Huang, F. Kéruzoré, L. Knox, M. Korman, K. Kornoelje, C.-L. Kuo, A. T. Lee, K. Levy, A. E. Lowitz, C. Lu, A. Maniyar, F. Menanteau, J. Montgomery, Y. Nakato, T. Natoli, G. I. Noble, V. Novosad, Y. Omori, S. Padin, Z. Pan, P. Paschos, K. A. Phadke, W. Quan, M. Rahimi, A. Rahlin, C. L. Reichardt, M. Rouble, J. E. Ruhl, E. Schiappucci, G. Smecher, J. A. Sobrin, A. A. Stark, J. Stephen, A. Suzuki, C. Tandoi, K. L. Thompson, B. Thorne, C. Trendafilova, C. Tucker, C. Umilta, A. Vitrier, J. D. Vieira, Y. Wan, G. Wang, N. Whitehorn, W. L. K. Wu, V. Yefremenko, M. R. Young, J. A. Zebrowski","Cosmology and Nongalactic Astrophysics (astro-ph.CO)","We forecast constraints on cosmological parameters enabled by three surveys conducted with SPT-3G, the third-generation camera on the South Pole Telescope. The surveys cover separate regions of 1500, 2650, and 6000 ${\rm deg}^{2}$ to different depths, in total observing 25% of the sky. These regions will be measured to white noise levels of roughly 2.5, 9, and 12 $\mu{\rm K-arcmin}$, respectively, in CMB temperature units at 150 GHz by the end of 2024. The survey also includes measurements at 95 and 220 GHz, which have noise levels a factor of ~1.2 and 3.5 times higher than 150 GHz, respectively, with each band having a polarization noise level ~$\sqrt{\text{2}}$ times higher than the temperature noise. We use a novel approach to obtain the covariance matrices for jointly and optimally estimated gravitational lensing potential bandpowers and unlensed CMB temperature and polarization bandpowers. We demonstrate the ability to test the $\Lambda{\rm CDM}$ model via the consistency of cosmological parameters constrained independently from SPT-3G and Planck data, and consider the improvement in constraints on $\Lambda{\rm CDM}$ extension parameters from a joint analysis of SPT-3G and Planck data. The $\Lambda{\rm CDM}$ cosmological parameters are typically constrained with uncertainties up to ~2 times smaller with SPT-3G data, compared to Planck, with the two data sets measuring significantly different angular scales and polarization levels, providing additional tests of the standard cosmological model.","Tue, 26 Mar 2024 17:57:20 UTC (4,338 KB)"
"2","Empowering Data Mesh with Federated Learning","Haoyuan Li, Salman Toor","Machine Learning (cs.LG)","The evolution of data architecture has seen the rise of data lakes, aiming to solve the bottlenecks of data management and promote intelligent decision-making. However, this centralized architecture is limited by the proliferation of data sources and the growing demand for timely analysis and processing. A new data paradigm, Data Mesh, is proposed to overcome these challenges. Data Mesh treats domains as a first-class concern by distributing the data ownership from the central team to each data domain, while keeping the federated governance to monitor domains and their data products. Many multi-million dollar organizations like Paypal, Netflix, and Zalando have already transformed their data analysis pipelines based on this new architecture. In this decentralized architecture where data is locally preserved by each domain team, traditional centralized machine learning is incapable of conducting effective analysis across multiple domains, especially for security-sensitive organizations. To this end, we introduce a pioneering approach that incorporates Federated Learning into Data Mesh. To the best of our knowledge, this is the first open-source applied work that represents a critical advancement toward the integration of federated learning methods into the Data Mesh paradigm, underscoring the promising prospects for privacy-preserving and decentralized data analysis strategies within Data Mesh architecture.","Tue, 26 Mar 2024 17:10:15 UTC (929 KB)"
"3","To Supervise or Not to Supervise: Understanding and Addressing the Key Challenges of 3D Transfer Learning","Souhail Hadgi, Lei Li, Maks Ovsjanikov","Computer Vision and Pattern Recognition (cs.CV)","Transfer learning has long been a key factor in the advancement of many fields including 2D image analysis. Unfortunately, its applicability in 3D data processing has been relatively limited. While several approaches for 3D transfer learning have been proposed in recent literature, with contrastive learning gaining particular prominence, most existing methods in this domain have only been studied and evaluated in limited scenarios. Most importantly, there is currently a lack of principled understanding of both when and why 3D transfer learning methods are applicable. Remarkably, even the applicability of standard supervised pre-training is poorly understood. In this work, we conduct the first in-depth quantitative and qualitative investigation of supervised and contrastive pre-training strategies and their utility in downstream 3D tasks. We demonstrate that layer-wise analysis of learned features provides significant insight into the downstream utility of trained networks. Informed by this analysis, we propose a simple geometric regularization strategy, which improves the transferability of supervised pre-training. Our work thus sheds light onto both the specific challenges of 3D transfer learning, as well as strategies to overcome them.","Tue, 26 Mar 2024 16:57:33 UTC (5,797 KB)"
"4","Using Domain Knowledge to Guide Dialog Structure Induction via Neural Probabilistic Soft Logic","Connor Pryor, Quan Yuan, Jeremiah Liu, Mehran Kazemi, Deepak Ramachandran, Tania Bedrax-Weiss, Lise Getoor","Computation and Language (cs.CL)","Dialog Structure Induction (DSI) is the task of inferring the latent dialog structure (i.e., a set of dialog states and their temporal transitions) of a given goal-oriented dialog. It is a critical component for modern dialog system design and discourse analysis. Existing DSI approaches are often purely data-driven, deploy models that infer latent states without access to domain knowledge, underperform when the training corpus is limited/noisy, or have difficulty when test dialogs exhibit distributional shifts from the training domain. This work explores a neural-symbolic approach as a potential solution to these problems. We introduce Neural Probabilistic Soft Logic Dialogue Structure Induction (NEUPSL DSI), a principled approach that injects symbolic knowledge into the latent space of a generative neural model. We conduct a thorough empirical investigation on the effect of NEUPSL DSI learning on hidden representation quality, few-shot learning, and out-of-domain generalization performance. Over three dialog structure induction datasets and across unsupervised and semi-supervised settings for standard and cross-domain generalization, the injection of symbolic knowledge using NEUPSL DSI provides a consistent boost in performance over the canonical baselines.","Tue, 26 Mar 2024 16:42:30 UTC (3,380 KB)"
"5","Learning the Optimal Power Flow: Environment Design Matters","Thomas Wolgast, Astrid Nieße","Machine Learning (cs.LG)","To solve the optimal power flow (OPF) problem, reinforcement learning (RL) emerges as a promising new approach. However, the RL-OPF literature is strongly divided regarding the exact formulation of the OPF problem as an RL environment. In this work, we collect and implement diverse environment design decisions from the literature regarding training data, observation space, episode definition, and reward function choice. In an experimental analysis, we show the significant impact of these environment design options on RL-OPF training performance. Further, we derive some first recommendations regarding the choice of these design decisions. The created environment framework is fully open-source and can serve as a benchmark for future research in the RL-OPF field.","Tue, 26 Mar 2024 16:13:55 UTC (177 KB)"
"6","Band Structure and Fermi Surface Nesting in $LaSb_2$","Evan O'Leary, Lin-Lin Wang, Yevhen Kushnirenko, Ben Schrunk, Andrew Eaton, Paula Herrera-Siklody, Paul C. Canfield, Adam Kaminski","Strongly Correlated Electrons (cond-mat.str-el)","We use high-resolution angle resolved photoemission spectroscopy (ARPES) and density functional theory (DFT) to investigate the electronic structure of the charge density wave (CDW) system LaSb$_2$. This compound is among an interesting group of materials that manifests both a CDW transition and lower temperature superconductivity. We find the DFT calculations to be in good agreement with our ARPES data. The Fermi surface of LaSb$_2$ consists of two small hole pockets close to $\Gamma$ and four larger pockets near the Brillouin zone (BZ) boundary. The overall features of the Fermi surface do not vary with temperature. A saddle point is present at -0.19 $eV$ below the Fermi level at $\Gamma$. Critical points in band structure have more pronounced effects on a materials properties when they are located closer to the Fermi level, making doped LaSb$_2$ compounds a potential interesting subject of future research. Multiple peaks are present in the generalized, electronic susceptibility calculations indicating the presence of possible nesting vectors. We were not able to detect any signatures of the CDW transition at 355 K, pointing to the subtle nature of this transition. This is unusual, given that such a high transition temperature is expected to be associated with the presence of a large CDW gap. This is confirmed through investigation of the Fermi surface and through analysis of momentum distribution curves (MDC). It is possible that changes are subtle and occur below current sensitivity of our measurements.","Tue, 26 Mar 2024 16:06:07 UTC (9,603 KB)"
"7","Towards Multilevel Modelling of Train Passing Events on the Staffordshire Bridge","Lawrence A. Bull, Chiho Jeon, Mark Girolami, Andrew Duncan, Jennifer Schooling, Miguel Bravo Haro","Applications (stat.AP)","We suggest a multilevel model, to represent aggregate train-passing events from the Staffordshire bridge monitoring system. We formulate a combined model from simple units, representing strain envelopes (of each train passing) for two types of commuter train. The measurements are treated as a longitudinal dataset and represented with a (low-rank approximation) hierarchical Gaussian process. For each unit in the combined model, we encode domain expertise as boundary condition constraints and work towards a general representation of the strain response. Looking forward, this should allow for the simulation of train types that were previously unobserved in the training data. For example, trains with more passengers or freights with a heavier payload. The strain event simulations are valuable since they can inform further experiments (including FEM calibration, fatigue analysis, or design) to test the bridge in hypothesised scenarios.","Tue, 26 Mar 2024 15:55:54 UTC (4,823 KB)"
"8","CSSTs: A Dynamic Data Structure for Partial Orders in Concurrent Execution Analysis","Hünkar Can Tunç, Ameya Prashant Deshmukh, Berk Çirisci, Constantin Enea, Andreas Pavlogiannis","Programming Languages (cs.PL)","Dynamic analyses are a standard approach to analyzing and testing concurrent programs. Such techniques observe program traces and analyze them to infer the presence or absence of bugs. At its core, each analysis maintains a partial order $P$ that represents order dependencies between events of the analyzed trace $\sigma$. Naturally, the scalability of the analysis largely depends on how efficiently it maintains $P$. The standard data structure for this task has thus far been vector clocks. These, however, are slow for analyses that follow a non-streaming style, costing $O(n)$ for inserting (and propagating) each new ordering in $P$, where $n$ is the size of $\sigma$, while they cannot handle the deletion of existing orderings.
In this paper we develop collective sparse segment trees (CSSTs), a simple but elegant data structure for generically maintaining a partial order $P$. CSSTs thrive when the width $k$ of $P$ is much smaller than the size $n$ of its domain, allowing inserting, deleting, and querying for orderings in $P$ to run in $O(logn)$ time. For a concurrent trace, $k$ is bounded by the number of its threads, and is normally orders of magnitude smaller than its size $n$, making CSSTs fitting for this setting. Our experimental results confirm that CSSTs are the best data structure currently to handle a range of dynamic analyses from existing literature.","Tue, 26 Mar 2024 15:53:53 UTC (124 KB)"
"9","Probing the shape of the quark-gluon plasma droplet via event-by-event QGP tomography","Bithika Karmakar, Dusan Zigic, Pasi Huovinen, Marko Djordjevic, Magdalena Djordjevic, Jussi Auvinen","High Energy Physics - Phenomenology (hep-ph)","This study investigates Quark-Gluon Plasma (QGP) in heavy-ion collisions through two avenues: high-$p_{\perp}$ frameworks and hydrodynamic modeling. Using the T$_{\text{R}}$ENTo model, we find that IP-Glasma mimicking $p=0$ value aligns well with high-$p_{\perp}$ data, in agreement with Bayesian analysis of the low-$p_{\perp}$ regime. While adjusting $p$ values may improve a fit to a particular high-$p_{\perp}$ observable, it does not permit an earlier onset of transverse expansion.","Tue, 26 Mar 2024 15:53:07 UTC (884 KB)"
"10","Graph Language Model (GLM): A new graph-based approach to detect social instabilities","Wallyson Lemes de Oliveira, Vahid Shamsaddini, Ali Ghofrani, Rahul Singh Inda, Jithendra Sai Veeramaneni, Étienne Voutaz","Computation and Language (cs.CL)","This scientific report presents a novel methodology for the early prediction of important political events using News datasets. The methodology leverages natural language processing, graph theory, clique analysis, and semantic relationships to uncover hidden predictive signals within the data. Initially, we designed a preliminary version of the method and tested it on a few events. This analysis revealed limitations in the initial research phase. We then enhanced the model in two key ways: first, we added a filtration step to only consider politically relevant news before further processing; second, we adjusted the input features to make the alert system more sensitive to significant spikes in the data. After finalizing the improved methodology, we tested it on eleven events including US protests, the Ukraine war, and French protests. Results demonstrate the superiority of our approach compared to baseline methods. Through targeted refinements, our model can now provide earlier and more accurate predictions of major political events based on subtle patterns in news data.","Tue, 26 Mar 2024 15:53:02 UTC (15,022 KB)"
