"","X","Title","Author","Subject","Abstract","Meta"
"1",1,"can the nanograv observations constrain the geometry of the universe?","matteo califano, rocco d'agostino, daniele vernieri","cosmology and nongalactic astrophysics (astro-ph.co)","the theory of inflation provides an elegant explanation for the nearly flat universe observed today, which represents one of the pillars of the standard cosmological model. however, recent studies have reported some deviations from a flat geometry, arguing that a closed universe would be instead favored by observations. given its central role played in the cosmological context, this paper revisits the issue of spatial curvature in light of the stochastic gravitational wave background signal recently detected by the nanograv collaboration. for this purpose, we investigate the primordial gravitational waves generated during inflation and their propagation in the post-inflationary universe. we propose a new parametrization of the gravitational wave power spectrum, taking into account spatial curvature, the tensor-to-scalar ratio and the spectral index of tensor perturbations. therefore, we compare the theoretical predictions with nanograv data to possibly constrain the geometry of the universe. we find that the choice of the priors has a significant effect on the computed posterior distributions. in particular, using flat uniform priors results in $\omega_{\mathcal{k},}= . \pm .$ at the \% confidence level. on the other hand, imposing a planck prior, we obtain $\omega_{\mathcal{k},}= -. \pm .$ at the \% confidence level. this result aligns with the analysis of the cosmic microwave background radiation, and no deviations from a flat universe are found.",2024-03-22
"2",2,"closing the information gap in unidentified anomalous phenomena (uap) studies","gretchen r. stahlman","digital libraries (cs.dl)","unidentified anomalous phenomena (uap), also known as unidentified flying objects (ufos), has shifted from being a stigmatized topic on the fringes of scientific inquiry to a legitimate subject of scientific interest with a need for high quality, curated data, and rigorous scientific investigation. this paper presents a preliminary scoping review and analysis of scholarly literature related to uap from  until , exploring a diverse range of research areas across disciplines to illustrate scholarly discourse about the topic. the paper focuses on characterizing papers published in recent years and notes that library & information science is unrepresented in the current uap literature. the paper also discusses how researchers across the ifields can contribute to uap studies through inherent expertise such as data curation and data science as well as information behavior and information literacy, among others. the paper concludes by emphasizing that uap studies offer a rich intellectual realm for information science research, with the ifields well positioned to play a crucial role in supporting and engaging in the study of uap.",2024-03-22
"3",3,"energy-dependent boosted dark matter from diffuse supernova neutrino background","anirban das, tim herbermann, manibrata sen, volodymyr takhistov","high energy physics - phenomenology (hep-ph)","diffuse neutrinos from past supernovae in the universe present us with a unique opportunity to test dark matter (dm) interactions. these neutrinos can scatter and boost the dm particles in the milky way halo to relativistic energies allowing us to detect them in terrestrial laboratories. focusing on generic models of dm-neutrino and electron interactions, mediated by a vector or a scalar boson, we implement energy-dependent scattering cross-sections and perform detailed numerical analysis of dm attenuation due to electron scattering in-medium while propagating towards terrestrial experiments. we set new limits on dm-neutrino and electron interactions for dm with masses in the range $\sim (., ^)~$mev, using recent data from xenonnt, lux-zeplin, and pandax-t direct detection experiments. we demonstrate that consideration of energy-dependent cross-sections for dm interactions can significantly affect constraints previously derived under the assumption of constant cross-sections, modifying them by multiple orders of magnitude.",2024-03-22
"4",4,"learning topological representations for deep image understanding","xiaoling hu","computer vision and pattern recognition (cs.cv)","in many scenarios, especially biomedical applications, the correct delineation of complex fine-scaled structures such as neurons, tissues, and vessels is critical for downstream analysis. despite the strong predictive power of deep learning methods, they do not provide a satisfactory representation of these structures, thus creating significant barriers in scalable annotation and downstream analysis. in this dissertation, we tackle such challenges by proposing novel representations of these topological structures in a deep learning framework. we leverage the mathematical tools from topological data analysis, i.e., persistent homology and discrete morse theory, to develop principled methods for better segmentation and uncertainty estimation, which will become powerful tools for scalable annotation.",2024-03-22
"5",5,"neural plasticity-inspired foundation model for observing the earth crossing modalities","zhitong xiong, yi wang, fahong zhang, adam j. stewart, joëlle hanna, damian borth, ioannis papoutsis, bertrand le saux, gustau camps-valls, xiao xiang zhu","computer vision and pattern recognition (cs.cv)","the development of foundation models has revolutionized our ability to interpret the earth's surface using satellite observational data. traditional models have been siloed, tailored to specific sensors or data types like optical, radar, and hyperspectral, each with its own unique characteristics. this specialization hinders the potential for a holistic analysis that could benefit from the combined strengths of these diverse data sources. our novel approach introduces the dynamic one-for-all (dofa) model, leveraging the concept of neural plasticity in brain science to integrate various data modalities into a single framework adaptively. this dynamic hypernetwork, adjusting to different wavelengths, enables a single versatile transformer jointly trained on data from five sensors to excel across  distinct earth observation tasks, including sensors never seen during pretraining. dofa's innovative design offers a promising leap towards more accurate, efficient, and unified earth observation analysis, showcasing remarkable adaptability and performance in harnessing the potential of multimodal earth observation data.",2024-03-22
"6",6,"low-regularity solutions of the nonlinear schrödinger equation on the spatial quarter-plane","dionyssios mantzavinos, türker ozsarı","analysis of pdes (math.ap)","the hadamard well-posedness of the nonlinear schrödinger equation with power nonlinearity formulated on the spatial quarter-plane is established in a low-regularity setting with sobolev initial data and dirichlet boundary data in appropriate bourgain-type spaces. as both of the spatial variables are restricted to the half-line, a different approach is needed than the one previously used for the well-posedness of other initial-boundary value problems. in particular, now the solution of the forced linear initial-boundary problem is estimated \textit{directly}, both in sobolev spaces and in strichartz-type spaces, i.e. without a linear decomposition that would require estimates for the associated homogeneous and nonhomogeneous initial value problems. in the process of deriving the linear estimates, the function spaces for the boundary data are identified as the intersections of certain modified bourgain-type spaces that involve spatial half-line fourier transforms instead of the usual whole-line fourier transform found in the definition of the standard bourgain space associated with the one-dimensional initial value problem. the fact that the quarter-plane has a corner at the origin poses an additional challenge, as it requires one to expand the validity of certain sobolev extension results to the case of a domain with a non-smooth (lipschitz) and non-compact boundary.",2024-03-22
"7",7,"global analysis of lisa data with galactic binaries and massive black hole binaries","stefan h. strub, luigi ferraioli, cédric schmelzbach, simon c. stähler, domenico giardini","general relativity and quantum cosmology (gr-qc)","the laser interferometer space antenna (lisa) is a planned space-based observatory to measure gravitational waves in the millihertz frequency band. this frequency band is expected to be dominated by signals from millions of galactic binaries and tens of merging massive black hole binaries. the lisa data challenge a is focused on the robust signal extraction from a blend of these two types of gravitational wave signals. here, we introduce a novel high performance and cost-effective global fit pipeline extracting and characterizing galactic binary and massive black hole binary signals and estimate the noise of the residual. we preform the pipeline in a time-evolving weekly analysis starting with and observation time of  week until we reach a full year. as expected we detect more galactic binaries and massive black hole binaries bringing the noise estimate of the residual closer to the instrument noise by each week of additional observation time. furthermore, we present a novel maximum likelihood estimate-based algorithm for extracting multiple massive black hole binaries. additionally we demonstrate a massive black hole binary signal extraction with a more accurate lisa response, considering higher harmonic modes, in a noisy data set.",2024-03-22
"8",8,"a data-driven approach to pde-constrained optimization in inverse problems","tristan van leeuwen, yunan yang","optimization and control (math.oc)","inverse problems are ubiquitous in science and engineering. many of these are naturally formulated as a pde-constrained optimization problem. these non-linear, large-scale, constrained optimization problems know many challenges, of which the inherent non-linearity of the problem is an important one. as an alternative to this physics-driven approach, data-driven methods have been proposed. these methods come with their own set of challenges, and it appears that, ideally, one would devise hybrid methods that combine the best of both worlds. in this paper, we propose one way of combining pde-constrained optimization with recently proposed data-driven reduced-order models. starting from an infinite-dimensional formulation of the inverse problem with discrete data, we propose a general framework for the analysis and discretisation of such problems. the proposed approach is based on a relaxed formulation of the pde-constrained optimization problem, which reduces to a weighted non-linear least-squares problem. the weight matrix turns out to be the gram matrix of solutions of the pde, and it can be estimated directly from the measurements. we provide a number of representative case studies and numerical examples.",2024-03-22
"9",9,"a data-informed mathematical model of microglial cell dynamics during ischemic stroke in the middle cerebral artery","sara amato, andrea arnold","cell behavior (q-bio.cb)","neuroinflammation immediately follows the onset of ischemic stroke in the middle cerebral artery. during this process, microglial cells are activated in and recruited to the penumbra. microglial cells can be activated into two different phenotypes: m, which can worsen brain injury; or m, which can aid in long-term recovery. in this study, we contribute a summary of experimental data on microglial cell counts in the penumbra following ischemic stroke induced by middle cerebral artery occlusion (mcao) in mice and compile available data sets into a single set suitable for time series analysis. further, we formulate a mathematical model of microglial cells in the penumbra during ischemic stroke due to mcao. through use of global sensitivity analysis and markov chain monte carlo (mcmc)-based parameter estimation, we analyze the effects of the model parameters on the number of m and m cells in the penumbra and fit identifiable parameters to the compiled experimental data set. we utilize results from mcmc parameter estimation to ascertain uncertainty bounds and forward predictions for the number of m and m microglial cells over time. results demonstrate the significance of parameters related to m and m activation on the number of m and m microglial cells. simulations further suggest that potential outliers in the observed data may be omitted and forecast predictions suggest a lingering inflammatory response.",2024-03-22
"10",10,"tests for almost stochastic dominance","amparo baíllo, javier cárcamo, carlos mora-corral","econometrics (econ.em)","we introduce a -dimensional stochastic dominance (dsd) index to characterize both strict and almost stochastic dominance. based on this index, we derive an estimator for the minimum violation ratio (mvr), also known as the critical parameter, of the almost stochastic ordering condition between two variables. we determine the asymptotic properties of the empirical dsd index and mvr for the most frequently used stochastic orders. we also provide conditions under which the bootstrap estimators of these quantities are strongly consistent. as an application, we develop consistent bootstrap testing procedures for almost stochastic dominance. the performance of the tests is checked via simulations and the analysis of real data.",2024-03-22
