"","Title","Author","Subject","Abstract","Meta"
"1","Can the NANOGrav observations constrain the geometry of the universe?","Matteo Califano, Rocco D'Agostino, Daniele Vernieri","Cosmology and Nongalactic Astrophysics (astro-ph.CO)","The theory of inflation provides an elegant explanation for the nearly flat universe observed today, which represents one of the pillars of the standard cosmological model. However, recent studies have reported some deviations from a flat geometry, arguing that a closed universe would be instead favored by observations. Given its central role played in the cosmological context, this paper revisits the issue of spatial curvature in light of the stochastic gravitational wave background signal recently detected by the NANOGrav collaboration. For this purpose, we investigate the primordial gravitational waves generated during inflation and their propagation in the post-inflationary universe. We propose a new parametrization of the gravitational wave power spectrum, taking into account spatial curvature, the tensor-to-scalar ratio and the spectral index of tensor perturbations. Therefore, we compare the theoretical predictions with NANOGrav data to possibly constrain the geometry of the universe. We find that the choice of the priors has a significant effect on the computed posterior distributions. In particular, using flat uniform priors results in $\Omega_{\mathcal{K},0}= 0.00 \pm 0.67$ at the 68\% confidence level. On the other hand, imposing a Planck prior, we obtain $\Omega_{\mathcal{K},0}= -0.05 \pm 0.17$ at the 68\% confidence level. This result aligns with the analysis of the cosmic microwave background radiation, and no deviations from a flat universe are found.","Fri, 22 Mar 2024 17:52:27 UTC (1,475 KB)"
"2","Closing the Information Gap in Unidentified Anomalous Phenomena (UAP) Studies","Gretchen R. Stahlman","Digital Libraries (cs.DL)","Unidentified Anomalous Phenomena (UAP), also known as Unidentified Flying Objects (UFOs), has shifted from being a stigmatized topic on the fringes of scientific inquiry to a legitimate subject of scientific interest with a need for high quality, curated data, and rigorous scientific investigation. This paper presents a preliminary scoping review and analysis of scholarly literature related to UAP from 1967 until 2023, exploring a diverse range of research areas across disciplines to illustrate scholarly discourse about the topic. The paper focuses on characterizing papers published in recent years and notes that Library & Information Science is unrepresented in the current UAP literature. The paper also discusses how researchers across the iFields can contribute to UAP studies through inherent expertise such as data curation and data science as well as information behavior and information literacy, among others. The paper concludes by emphasizing that UAP Studies offer a rich intellectual realm for information science research, with the iFields well positioned to play a crucial role in supporting and engaging in the study of UAP.","Fri, 22 Mar 2024 17:40:04 UTC (385 KB)"
"3","Energy-dependent Boosted Dark Matter from Diffuse Supernova Neutrino Background","Anirban Das, Tim Herbermann, Manibrata Sen, Volodymyr Takhistov","High Energy Physics - Phenomenology (hep-ph)","Diffuse neutrinos from past supernovae in the Universe present us with a unique opportunity to test dark matter (DM) interactions. These neutrinos can scatter and boost the DM particles in the Milky Way halo to relativistic energies allowing us to detect them in terrestrial laboratories. Focusing on generic models of DM-neutrino and electron interactions, mediated by a vector or a scalar boson, we implement energy-dependent scattering cross-sections and perform detailed numerical analysis of DM attenuation due to electron scattering in-medium while propagating towards terrestrial experiments. We set new limits on DM-neutrino and electron interactions for DM with masses in the range $\sim (0.1, 10^4)~$MeV, using recent data from XENONnT, LUX-ZEPLIN, and PandaX-4T direct detection experiments. We demonstrate that consideration of energy-dependent cross-sections for DM interactions can significantly affect constraints previously derived under the assumption of constant cross-sections, modifying them by multiple orders of magnitude.","Fri, 22 Mar 2024 17:38:44 UTC (2,307 KB)"
"4","Learning Topological Representations for Deep Image Understanding","Xiaoling Hu","Computer Vision and Pattern Recognition (cs.CV)","In many scenarios, especially biomedical applications, the correct delineation of complex fine-scaled structures such as neurons, tissues, and vessels is critical for downstream analysis. Despite the strong predictive power of deep learning methods, they do not provide a satisfactory representation of these structures, thus creating significant barriers in scalable annotation and downstream analysis. In this dissertation, we tackle such challenges by proposing novel representations of these topological structures in a deep learning framework. We leverage the mathematical tools from topological data analysis, i.e., persistent homology and discrete Morse theory, to develop principled methods for better segmentation and uncertainty estimation, which will become powerful tools for scalable annotation.","Fri, 22 Mar 2024 17:23:37 UTC (31,299 KB)"
"5","Neural Plasticity-Inspired Foundation Model for Observing the Earth Crossing Modalities","Zhitong Xiong, Yi Wang, Fahong Zhang, Adam J. Stewart, Joëlle Hanna, Damian Borth, Ioannis Papoutsis, Bertrand Le Saux, Gustau Camps-Valls, Xiao Xiang Zhu","Computer Vision and Pattern Recognition (cs.CV)","The development of foundation models has revolutionized our ability to interpret the Earth's surface using satellite observational data. Traditional models have been siloed, tailored to specific sensors or data types like optical, radar, and hyperspectral, each with its own unique characteristics. This specialization hinders the potential for a holistic analysis that could benefit from the combined strengths of these diverse data sources. Our novel approach introduces the Dynamic One-For-All (DOFA) model, leveraging the concept of neural plasticity in brain science to integrate various data modalities into a single framework adaptively. This dynamic hypernetwork, adjusting to different wavelengths, enables a single versatile Transformer jointly trained on data from five sensors to excel across 12 distinct Earth observation tasks, including sensors never seen during pretraining. DOFA's innovative design offers a promising leap towards more accurate, efficient, and unified Earth observation analysis, showcasing remarkable adaptability and performance in harnessing the potential of multimodal Earth observation data.","Fri, 22 Mar 2024 17:11:47 UTC (35,969 KB)"
"6","Low-Regularity Solutions of the Nonlinear Schrödinger Equation on the Spatial Quarter-Plane","Dionyssios Mantzavinos, Türker Ozsarı","Analysis of PDEs (math.AP)","The Hadamard well-posedness of the nonlinear Schrödinger equation with power nonlinearity formulated on the spatial quarter-plane is established in a low-regularity setting with Sobolev initial data and Dirichlet boundary data in appropriate Bourgain-type spaces. As both of the spatial variables are restricted to the half-line, a different approach is needed than the one previously used for the well-posedness of other initial-boundary value problems. In particular, now the solution of the forced linear initial-boundary problem is estimated \textit{directly}, both in Sobolev spaces and in Strichartz-type spaces, i.e. without a linear decomposition that would require estimates for the associated homogeneous and nonhomogeneous initial value problems. In the process of deriving the linear estimates, the function spaces for the boundary data are identified as the intersections of certain modified Bourgain-type spaces that involve spatial half-line Fourier transforms instead of the usual whole-line Fourier transform found in the definition of the standard Bourgain space associated with the one-dimensional initial value problem. The fact that the quarter-plane has a corner at the origin poses an additional challenge, as it requires one to expand the validity of certain Sobolev extension results to the case of a domain with a non-smooth (Lipschitz) and non-compact boundary.","Fri, 22 Mar 2024 17:02:48 UTC (40 KB)"
"7","Global Analysis of LISA Data with Galactic Binaries and Massive Black Hole Binaries","Stefan H. Strub, Luigi Ferraioli, Cédric Schmelzbach, Simon C. Stähler, Domenico Giardini","General Relativity and Quantum Cosmology (gr-qc)","The Laser Interferometer Space Antenna (LISA) is a planned space-based observatory to measure gravitational waves in the millihertz frequency band. This frequency band is expected to be dominated by signals from millions of Galactic binaries and tens of merging massive black hole binaries. The LISA Data Challenge 2a is focused on the robust signal extraction from a blend of these two types of gravitational wave signals. Here, we introduce a novel high performance and cost-effective global fit pipeline extracting and characterizing galactic binary and massive black hole binary signals and estimate the noise of the residual. We preform the pipeline in a time-evolving weekly analysis starting with and observation time of 1 week until we reach a full year. As expected we detect more galactic binaries and massive black hole binaries bringing the noise estimate of the residual closer to the instrument noise by each week of additional observation time. Furthermore, we present a novel maximum likelihood estimate-based algorithm for extracting multiple massive black hole binaries. Additionally we demonstrate a massive black hole binary signal extraction with a more accurate LISA response, considering higher harmonic modes, in a noisy data set.","Fri, 22 Mar 2024 16:11:53 UTC (4,837 KB)"
"8","A data-driven approach to PDE-constrained optimization in inverse problems","Tristan van Leeuwen, Yunan Yang","Optimization and Control (math.OC)","Inverse problems are ubiquitous in science and engineering. Many of these are naturally formulated as a PDE-constrained optimization problem. These non-linear, large-scale, constrained optimization problems know many challenges, of which the inherent non-linearity of the problem is an important one. As an alternative to this physics-driven approach, data-driven methods have been proposed. These methods come with their own set of challenges, and it appears that, ideally, one would devise hybrid methods that combine the best of both worlds. In this paper, we propose one way of combining PDE-constrained optimization with recently proposed data-driven reduced-order models. Starting from an infinite-dimensional formulation of the inverse problem with discrete data, we propose a general framework for the analysis and discretisation of such problems. The proposed approach is based on a relaxed formulation of the PDE-constrained optimization problem, which reduces to a weighted non-linear least-squares problem. The weight matrix turns out to be the Gram matrix of solutions of the PDE, and it can be estimated directly from the measurements. We provide a number of representative case studies and numerical examples.","Fri, 22 Mar 2024 15:40:09 UTC (1,115 KB)"
"9","A data-informed mathematical model of microglial cell dynamics during ischemic stroke in the middle cerebral artery","Sara Amato, Andrea Arnold","Cell Behavior (q-bio.CB)","Neuroinflammation immediately follows the onset of ischemic stroke in the middle cerebral artery. During this process, microglial cells are activated in and recruited to the penumbra. Microglial cells can be activated into two different phenotypes: M1, which can worsen brain injury; or M2, which can aid in long-term recovery. In this study, we contribute a summary of experimental data on microglial cell counts in the penumbra following ischemic stroke induced by middle cerebral artery occlusion (MCAO) in mice and compile available data sets into a single set suitable for time series analysis. Further, we formulate a mathematical model of microglial cells in the penumbra during ischemic stroke due to MCAO. Through use of global sensitivity analysis and Markov Chain Monte Carlo (MCMC)-based parameter estimation, we analyze the effects of the model parameters on the number of M1 and M2 cells in the penumbra and fit identifiable parameters to the compiled experimental data set. We utilize results from MCMC parameter estimation to ascertain uncertainty bounds and forward predictions for the number of M1 and M2 microglial cells over time. Results demonstrate the significance of parameters related to M1 and M2 activation on the number of M1 and M2 microglial cells. Simulations further suggest that potential outliers in the observed data may be omitted and forecast predictions suggest a lingering inflammatory response.","Fri, 22 Mar 2024 15:31:07 UTC (288 KB)"
"10","Tests for almost stochastic dominance","Amparo Baíllo, Javier Cárcamo, Carlos Mora-Corral","Econometrics (econ.EM)","We introduce a 2-dimensional stochastic dominance (2DSD) index to characterize both strict and almost stochastic dominance. Based on this index, we derive an estimator for the minimum violation ratio (MVR), also known as the critical parameter, of the almost stochastic ordering condition between two variables. We determine the asymptotic properties of the empirical 2DSD index and MVR for the most frequently used stochastic orders. We also provide conditions under which the bootstrap estimators of these quantities are strongly consistent. As an application, we develop consistent bootstrap testing procedures for almost stochastic dominance. The performance of the tests is checked via simulations and the analysis of real data.","Fri, 22 Mar 2024 14:58:48 UTC (2,044 KB)"
