"","Name","Date","IndividualRating","Review"
"1","Amazon Customer","Reviewed in the United Kingdom on 16 July 2023","4.6 out of 5 stars",NA
"2","Amazon Customer","Reviewed in the United Kingdom on 26 October 2021","4.7",NA
"3","CandyKitten","Reviewed in the United Kingdom on 10 March 2022","4.4",NA
"4","Wallflower ","Reviewed in the United Kingdom on 7 January 2024","4.4",NA
"5","Amazon Customer","Reviewed in the United Kingdom on 9 August 2023","Previous page",NA
"6","T J","Reviewed in the United Kingdom on 2 February 2024","4.6 out of 5 stars",NA
"7","L. Morfoot","Reviewed in the United Kingdom on 16 March 2018","4.7 out of 5 stars",NA
"8","martin jones","Reviewed in the United Kingdom on 6 June 2023","4.7 out of 5 stars",NA
"9","Pollypocket74","Reviewed in Germany on 21 February 2024","4.3 out of 5 stars",NA
"10","Pollypocket74","Reviewed in Spain on 30 December 2023","4.5 out of 5 stars",NA
"11","Eric","Reviewed in the United States on 26 April 2021","4.5 out of 5 stars",NA
"12","Holger","Reviewed in France on 18 May 2023","Next page",NA
"13","María José","Reviewed in Spain on 9 February 2023","4.6 out of 5 stars",NA
"14","María José",NA,"4.6 out of 5 stars",NA
"15","Crone Dancer",NA,"5.0 out of 5 stars",NA
"16","Pépée",NA,"Previous page",NA
"17","Pablo",NA,"Next page",NA
"18",NA,NA,"5 Stars",NA
"19",NA,NA,"5.0 out of 5 stars",NA
"20",NA,NA,"5.0 out of 5 stars",NA
"21",NA,NA,"5.0 out of 5 stars",NA
"22",NA,NA,"4.0 out of 5 stars",NA
"23",NA,NA,"5.0 out of 5 stars",NA
"24",NA,NA,"5.0 out of 5 stars",NA
"25",NA,NA,"5.0 out of 5 stars",NA
