"","Name","Date","Individual_Rating","Review"
"1","Amazon Customer","Reviewed in the United States on 13 January 2024","4.4 out of 5 stars",NA
"2","islandgirl","Reviewed in the United States on 13 January 2024","Previous page",NA
"3","Helena adams","Reviewed in Mexico on 27 November 2023","4.7 out of 5 stars",NA
"4","DG","Reviewed in the United States on 6 January 2024","4.2 out of 5 stars",NA
"5","DG","Reviewed in the United States on 16 January 2024","4.3 out of 5 stars",NA
"6","Jim",NA,"4.6 out of 5 stars",NA
"7","kdu",NA,"Next page",NA
"8",NA,NA,"4.4 out of 5 stars",NA
"9",NA,NA,"4.4 out of 5 stars",NA
"10",NA,NA,"5.0 out of 5 stars",NA
"11",NA,NA,"5.0 out of 5 stars",NA
"12",NA,NA,"5.0 out of 5 stars",NA
"13",NA,NA,"4.0 out of 5 stars",NA
"14",NA,NA,"4.0 out of 5 stars",NA
"15",NA,NA,"5.0 out of 5 stars",NA
"16",NA,NA,"4.0 out of 5 stars",NA
"17",NA,NA,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
